"id","userid","class","subject","topic","subtopic","type","type1","type2","question","correct_ans","hint","opt_a","opt_b","opt_c","opt_d","status","created_at","updated_at","shape_info"
62,1,1,8,1,7,2,"","","Which number is Ascending?","0, 3, 4, 10","","9, 6, 4, 1","9, 6, 2, 1","0, 3, 4, 10","8, 5, 4, 3",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
63,1,1,8,1,7,3,"","","Which number is Descending?","10, 9, 7, 1","","2, 5, 9, 10","0, 2, 3, 5","10, 9, 7, 1","2, 4, 6, 7",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
64,1,1,8,1,7,3,"","","Which number is Descending?","9, 5, 3, 0","","0, 3, 7, 9","0, 4, 9, 10","1, 2, 7, 9","9, 5, 3, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
65,1,1,8,1,7,3,"","","Which number is Descending?","6, 4, 2, 1","","3, 4, 6, 8","1, 2, 6, 10","2, 6, 8, 10","6, 4, 2, 1",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
66,1,1,8,1,7,3,"","","Which number is Descending?","7, 4, 3, 1","","7, 4, 3, 1","1, 3, 6, 8","0, 2, 9, 10","0, 2, 5, 6",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
67,1,1,8,1,7,2,"","","Which number is Ascending?","0, 2, 3, 7","","7, 5, 2, 0","10, 3, 1, 0","0, 2, 3, 7","10, 8, 7, 2",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
68,1,1,8,1,7,2,"","","Which number is Ascending?","3, 5, 6, 7","","3, 5, 6, 7","8, 5, 1, 0","10, 9, 5, 0","7, 6, 4, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
69,1,1,8,1,7,2,"","","Which number is Ascending?","0, 1, 2, 8","","9, 3, 1, 0","0, 1, 2, 8","10, 9, 6, 0","10, 4, 2, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
70,1,1,8,1,7,3,"","","Which number is Descending?","8, 7, 4, 3","","2, 3, 6, 8","0, 2, 3, 8","1, 5, 7, 10","8, 7, 4, 3",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
71,1,1,8,1,7,2,"","","Which number is Ascending?","0, 3, 4, 7","","10, 9, 8, 0","10, 8, 5, 2","0, 3, 4, 7","10, 6, 5, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
72,1,1,8,1,7,3,"","","Which number is Descending?","9, 8, 2, 1","","9, 8, 2, 1","0, 1, 9, 10","0, 3, 9, 10","2, 6, 7, 10",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
73,1,1,8,1,7,2,"","","Which number is Ascending?","5, 7, 8, 9","","5, 7, 8, 9","6, 3, 2, 0","9, 8, 6, 1","9, 4, 1, 0",0,"2023-09-04 14:54:29","2023-09-04 14:54:29",""
74,1,1,8,1,7,3,"","","Which number is Descending?","7, 5, 4, 3","","2, 3, 4, 8","7, 5, 4, 3","1, 4, 7, 10","7, 8, 9, 10",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
75,1,1,8,1,7,3,"","","Which number is Descending?","9, 6, 5, 1","","1, 3, 5, 8","9, 6, 5, 1","1, 3, 8, 9","1, 6, 7, 8",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
76,1,1,8,1,7,2,"","","Which number is Ascending?","2, 7, 9, 10","","2, 7, 9, 10","10, 8, 2, 0","10, 8, 6, 5","9, 8, 5, 1",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
77,1,1,8,1,7,3,"","","Which number is Descending?","10, 9, 7, 3","","1, 5, 9, 10","10, 9, 7, 3","0, 4, 6, 8","0, 3, 6, 7",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
78,1,1,8,1,7,3,"","","Which number is Descending?","6, 5, 2, 1","","2, 5, 9, 10","1, 3, 9, 10","6, 5, 2, 1","2, 3, 8, 9",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
79,1,1,8,1,7,2,"","","Which number is Ascending?","2, 4, 5, 9","","7, 6, 5, 2","10, 6, 4, 0","10, 9, 1, 0","2, 4, 5, 9",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
80,1,1,8,1,7,3,"","","Which number is Descending?","9, 7, 5, 3","","1, 2, 4, 10","9, 7, 5, 3","2, 6, 8, 10","4, 5, 8, 10",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
81,1,1,8,1,7,2,"","","Which number is Ascending?","0, 2, 7, 8","","10, 3, 2, 0","10, 7, 4, 2","9, 7, 5, 0","0, 2, 7, 8",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
82,1,1,8,1,7,2,"","","Which number is Ascending?","1, 6, 9, 10","","10, 7, 6, 3","10, 9, 5, 1","7, 4, 1, 0","1, 6, 9, 10",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
83,1,1,8,1,7,2,"","","Which number is Ascending?","0, 1, 3, 6","","8, 6, 5, 0","0, 1, 3, 6","5, 3, 2, 1","6, 3, 1, 0",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
84,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","5","","6","10","7","5",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
85,1,1,8,1,13,0,"","","Which group has fewer objects?","1","","6","3","8","1",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
86,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","5","","5","4","2","3",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
87,1,1,8,1,13,1,"","","Which group has more objects?","10","","4","10","3","6",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
88,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","1","","4","2","1","10",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
89,1,1,8,1,13,1,"","","Which group has more objects?","9","","1","9","4","7",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
90,1,1,8,1,13,1,"","","Which group has more objects?","4","","2","3","1","4",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
91,1,1,8,1,13,1,"","","Which group has more objects?","6","","5","2","6","1",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
92,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","10","","7","10","6","1",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
93,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","6","","2","1","6","4",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
94,1,1,8,1,13,1,"","","Which group has more objects?","4","","2","1","3","4",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
95,1,1,8,1,13,1,"","","Which group has more objects?","10","","10","1","2","5",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
96,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","6","","8","10","7","6",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
97,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","6","","2","4","6","1",0,"2023-09-04 14:54:30","2023-09-04 14:54:30",""
98,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","2","","5","2","7","9",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
99,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","2","","9","3","8","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
100,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","1","","3","6","4","1",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
101,1,1,8,1,13,0,"","","Which group has fewer objects?","1","","3","1","4","8",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
102,1,1,8,1,13,0,"","","Which group has fewer objects?","2","","5","2","10","4",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
103,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","1","","5","1","4","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
104,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","5","","5","9","7","6",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
105,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","10","","3","6","9","10",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
106,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","9","","2","9","8","4",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
107,1,1,8,1,13,1,"","","Which group has more objects?","10","","10","8","7","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
108,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","2","","2","6","8","10",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
109,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","9","","8","5","4","9",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
110,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","10","","1","6","8","10",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
111,1,1,8,1,13,1,"","","Which group has more objects?","10","","4","8","10","3",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
112,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","5","","8","10","5","7",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
113,1,1,8,1,13,2,"","","Which Shape/Object is fewer in the given group?","2","","5","4","2","9",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
114,1,1,8,1,13,3,"","","Which Shape/Object is more in the given group?","7","","7","4","1","3",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
115,1,1,8,1,13,0,"","","Which group has fewer objects?","3","","3","6","4","5",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
116,1,1,8,2,14,1,"","","Which object is longest?","5","","5","3","2","4",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
117,1,1,8,2,14,1,"","","Which object is longest?","5","","2","4","5","3",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
118,1,1,8,2,14,1,"","","Which object is longest?","5","","4","3","5","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
119,1,1,8,2,14,0,"","","Which object is shortest?","2","","4","5","3","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
120,1,1,8,2,14,1,"","","Which object is longest?","5","","3","4","5","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
121,1,1,8,2,14,1,"","","Which object is longest?","5","","4","5","3","2",0,"2023-09-04 14:54:31","2023-09-04 14:54:31",""
122,1,1,8,2,14,0,"","","Which object is shortest?","2","","4","3","2","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
123,1,1,8,2,14,0,"","","Which object is shortest?","2","","2","4","3","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
124,1,1,8,2,14,0,"","","Which object is shortest?","2","","3","5","2","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
125,1,1,8,2,14,1,"","","Which object is longest?","5","","2","5","3","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
126,1,1,8,2,14,0,"","","Which object is shortest?","2","","2","3","4","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
127,1,1,8,2,15,1,"","","Which object is tallest?","5","","3","5","2","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
128,1,1,8,2,15,0,"","","Which object is shortest?","2","","4","2","3","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
129,1,1,8,2,15,0,"","","Which object is shortest?","2","","3","2","4","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
130,1,1,8,2,15,0,"","","Which object is shortest?","2","","4","5","2","3",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
131,1,1,8,2,15,0,"","","Which object is shortest?","2","","5","2","3","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
132,1,1,8,2,15,1,"","","Which object is tallest?","5","","3","2","5","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
133,1,1,8,2,15,1,"","","Which object is tallest?","5","","5","4","3","2",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
134,1,1,8,2,15,1,"","","Which object is tallest?","5","","2","4","3","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
135,1,1,8,2,16,1,"","","Which object is wideest?","5","","3","2","5","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
136,1,1,8,2,16,0,"","","Which object is narrowest?","2","","2","3","5","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
137,1,1,8,2,16,1,"","","Which object is wideest?","5","","5","3","2","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
138,1,1,8,2,16,1,"","","Which object is wideest?","5","","5","4","3","2",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
139,1,1,8,2,16,0,"","","Which object is narrowest?","2","","5","4","3","2",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
140,1,1,8,2,16,1,"","","Which object is wideest?","5","","5","4","2","3",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
141,1,1,8,2,16,1,"","","Which object is wideest?","5","","3","2","4","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
142,1,1,8,2,16,1,"","","Which object is wideest?","5","","5","2","3","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
143,1,1,8,2,16,0,"","","Which object is narrowest?","2","","3","5","2","4",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
144,1,1,8,2,16,0,"","","Which object is narrowest?","2","","2","4","3","5",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
145,1,1,8,2,16,1,"","","Which object is wideest?","5","","2","4","5","3",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
146,1,1,8,2,16,0,"","","Which object is narrowest?","2","","4","2","5","3",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
147,1,1,8,2,16,0,"","","Which object is narrowest?","2","","2","5","4","3",0,"2023-09-04 14:54:32","2023-09-04 14:54:32",""
148,1,1,8,2,16,0,"","","Which object is narrowest?","2","","5","2","3","4",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
149,1,1,8,2,16,0,"","","Which object is narrowest?","2","","4","2","3","5",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
150,1,1,8,2,16,0,"","","Which object is narrowest?","2","","2","5","3","4",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
151,1,1,8,2,16,0,"","","Which object is narrowest?","2","","5","3","2","4",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
152,1,1,8,2,17,1,"","","Which object is heaviest?","7","","3","6","4","7",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
153,1,1,8,2,17,1,"","","Which object is heaviest?","5","","3","4","2","5",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
154,1,1,8,2,17,0,"","","Which object is lightest?","1","","6","4","1","5",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
155,1,1,8,2,17,1,"","","Which object is heaviest?","7","","2","3","6","7",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
156,1,1,8,2,17,1,"","","Which object is heaviest?","6","","3","6","4","2",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
157,1,1,8,2,17,1,"","","Which object is heaviest?","7","","1","7","5","3",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
158,1,1,8,2,17,0,"","","Which object is lightest?","4","","4","10","6","9",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
159,1,1,8,2,17,1,"","","Which object is heaviest?","5","","5","4","3","2",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
160,1,1,8,2,17,1,"","","Which object is heaviest?","7","","7","4","5","1",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
161,1,1,8,2,17,0,"","","Which object is lightest?","2","","6","7","5","2",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
162,1,1,8,2,17,1,"","","Which object is heaviest?","5","","5","4","2","1",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
163,1,1,8,2,17,1,"","","Which object is heaviest?","6","","4","5","6","1",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
164,1,1,8,2,17,1,"","","Which object is heaviest?","9","","3","5","6","9",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
165,1,1,8,2,17,0,"","","Which object is lightest?","5","","7","5","10","9",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
166,1,1,8,2,17,1,"","","Which object is heaviest?","7","","2","4","7","6",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
167,1,1,8,2,17,0,"","","Which object is lightest?","1","","4","2","1","7",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
168,1,1,8,2,17,1,"","","Which object is heaviest?","8","","8","5","6","7",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
169,1,1,8,2,17,0,"","","Which object is lightest?","6","","10","6","7","9",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
170,1,1,8,2,17,0,"","","Which object is lightest?","4","","5","10","4","9",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
171,1,1,8,2,17,1,"","","Which object is heaviest?","6","","3","4","2","6",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
172,1,1,8,2,17,1,"","","Which object is heaviest?","5","","3","4","5","1",0,"2023-09-04 14:54:33","2023-09-04 14:54:33",""
173,1,1,8,2,17,0,"","","Which object is lightest?","1","","7","2","1","10",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
174,1,1,8,2,17,1,"","","Which object is heaviest?","5","","1","4","3","5",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
175,1,1,8,2,17,1,"","","Which object is heaviest?","8","","7","5","3","8",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
176,1,1,8,2,17,0,"","","Which object is lightest?","3","","5","8","10","3",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
177,1,1,8,2,17,1,"","","Which object is heaviest?","6","","1","2","6","5",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
178,1,1,8,3,31,1,"","","What is the value of coin?","1","","2","1","5","10",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
179,1,1,8,3,31,1,"","","What is the value of coin?","1","","5","2","1","10",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
180,1,1,8,3,31,2,"","","What is the value of note?","5","","1","2","10","5",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
181,1,1,8,3,31,2,"","","What is the value of note?","2","","5","10","2","1",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
182,1,1,8,3,34,0,"","","What is the sum of money shown?","2","","5","1","2","10",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
183,1,1,8,3,34,0,"","","What is the sum of money shown?","1","","10","2","5","1",0,"2023-09-04 14:54:34","2023-09-04 14:54:34",""
