id,idiom,meaning,example,relevance
636,A good sport,Someone who handles winning and losing well and doesn't get upset,"Even though he lost the game, he was a good sport and congratulated the other team.",1 class
637,Good as new,Referring to something that looks and works like it's brand new,My favorite teddy bear looks good as new after getting washed and fixed.,1 class
638,Good for you,Congratulating someone on their accomplishments or healthy choices,"You ate all your vegetables? Good for you, that's very healthy!",1 class
639,Good luck,Wishing someone success or good fortune in something they are about to do,"Good luck on your spelling test today, I know you will do great!",1 class
640,Good manners,Behaving politely and respectfully towards others,Remember to use your good manners when talking to adults.,1 class
641,Good morning,A polite greeting used in the morning,"Good morning, class! Let's get ready to learn.",1 class
642,Good news,Information that is positive and makes someone happy,"I have good news, we get to have a pizza party tomorrow!",1 class
643,Good sport,Playing games fairly and not getting upset or angry when you lose,"Billy was a good sport during the game, he shook hands with the other team after losing.",1 class
644,Good teamwork,Working together with others to accomplish a goal or task,"We showed good teamwork on the class project, everyone contributed and helped each other.",1 class
645,Good to see you,Expressing happiness to see someone you know and like,"Good to see you, Emily! How was your weekend?",1 class
646,Good vibes,A positive feeling or atmosphere,"The classroom had good vibes, everyone was smiling and excited to learn.",1 class
647,Goodbye,A polite way to say farewell or see you later,"Goodbye, see you tomorrow at school!",1 class
648,It's all good,Everything is okay and there is no need to worry or be upset,"Don't worry, it's all good, we can fix the problem together.",1 class
649,Too good to be true,Referring to something that seems too perfect or unlikely to actually exist or happen,A trip to Disneyland for free? That sounds too good to be true.,1 class
650,A hot day,A day with high temperatures,"It's a hot day, we should stay indoors and drink lots of water.",1 class
651,A hot mess,A state of disorganization or chaos,"My room is a hot mess, I need to clean it up.",1 class
652,Hot and bothered,"Feeling agitated, anxious, or frustrated","After waiting in line for a long time, I was feeling hot and bothered.",1 class
653,Hot chocolate,"A warm, chocolate-flavored drink",I love to drink hot chocolate on a cold winter day.,1 class
654,Hot potato,A difficult or sensitive issue that is difficult to handle or discuss,The topic of politics can be a hot potato to discuss at family gatherings.,1 class
655,Hot stuff,Referring to something that is impressive or attractive,You got a new bike? That's hot stuff!,1 class
656,In hot water,In trouble or facing consequences for something you did wrong,"After breaking the vase, I knew I was in hot water with my parents.",1 class
657,Make it hot for someone,To make things difficult or unpleasant for someone as a form of punishment or revenge,"If you cheat on a test, the teacher will make it hot for you.",1 class
658,"Out of the frying pan, into the fire",Going from a bad situation to a worse one,"I thought quitting my job would make things better, but now I'm in the frying pan and into the fire.",1 class
659,Red-hot,Referring to something that is very hot or heated up,"The stove is red-hot, don't touch it.",1 class
660,Selling like hotcakes,Referring to something that is selling quickly and in high demand,"The new toy is selling like hotcakes, everyone wants to buy it.",1 class
661,Sit tight and wait for it,Be patient and wait for something to happen,"Your birthday party is coming, sit tight and wait for it.",1 class
662,Spicy hot,Referring to food that is very hot or spicy,"I like my noodles spicy hot, but not too hot.",1 class
663,The heat is on,"Referring to a situation where pressure is building up, and people need to act quickly","The heat is on, we need to finish the project by tomorrow.",1 class
664,Throw fuel on the fire,To make a situation worse by adding more tension or drama,"If you argue with your sister, you'll just throw fuel on the fire.",1 class
665,Too hot to handle,Referring to something that is difficult to manage or control,"The puppy is too hot to handle, he keeps running away.",1 class
666,Under the hot sun,"Referring to being exposed to the sun for a long time, usually while doing outdoor activities","We had a picnic under the hot sun, we ate sandwiches and played games.",1 class
667,"When the iron is hot, strike it",Take advantage of a good opportunity when it presents itself,"You have a chance to show your artwork to the teacher, when the iron is hot, strike it!",1 class
668,You're on fire,"Referring to someone who is doing exceptionally well, usually in a competitive situation","During the game, you made three goals in a row, you're on fire!",1 class
669,Catch a cold,To get sick with a cold virus,"If you don't wear a jacket, you might catch a cold.",1 class
670,Cold as ice,Referring to something that is very cold or unfeeling,The water in the lake was cold as ice.,1 class
671,Cold feet,To feel nervous or unsure about doing something,"Before the race, I had cold feet and almost didn't participate.",1 class
672,Cold shoulder,To be ignored or treated unfriendly by someone,My friend gave me the cold shoulder after we had an argument.,1 class
673,Cold turkey,"To stop doing something suddenly and completely, especially with addiction or bad habits","My dad stopped smoking cold turkey, and he hasn't smoked for a year now.",1 class
674,Come in from the cold,To be accepted or welcomed after feeling left out or excluded,"After being away for a long time, I was happy to come in from the cold.",1 class
675,Cool as a cucumber,"Referring to someone who is calm and collected, even in a stressful situation","During the presentation, she was cool as a cucumber and didn't get nervous.",1 class
676,Go cold turkey,"To stop using or consuming something suddenly and completely, especially with addiction or bad habits",My friend decided to go cold turkey and stop drinking soda.,1 class
677,In cold blood,Referring to something that is done without emotion or feeling,"The thief stole the money in cold blood, without any remorse.",1 class
678,Leave someone out in the cold,To leave someone out or exclude them from something,"Don't leave your friend out in the cold, invite them to join your game.",1 class
679,Out cold,To be unconscious or deeply asleep,"After falling off his bike, he was knocked out cold.",1 class
680,Stone-cold sober,"Referring to someone who is completely sober, especially from alcohol","The designated driver was stone-cold sober, even after everyone else drank.",1 class
681,The cold hard truth,Referring to an unpleasant fact or reality that is difficult to accept or deal with,The cold hard truth is that we failed the test and need to study harder.,1 class
682,Throw cold water on something,To discourage or put a damper on something,"When I suggested going to the park, my friend threw cold water on it and said it's too hot outside.",1 class
683,Turn up the heat,To increase the pressure or intensity of a situation or activity,"During the game, the coach turned up the heat and challenged us to win.",1 class
684,Under the weather,To feel slightly ill or not one's best,"I'm feeling under the weather, so I won't be able to go to school today.",1 class
685,Walk on thin ice,To be in a risky or dangerous situation,"If you cheat on the test, you're walking on thin ice and might get caught.",1 class
686,When hell freezes over,Referring to something that is impossible or unlikely to happen,My brother said he'd clean his room when hell freezes over.,1 class
687,Winter wonderland,Referring to a place that is covered in snow and looks magical and beautiful,"The park was transformed into a winter wonderland, and we went ice skating.",1 class
688,On top of the world,Feeling very happy and successful,"After winning the game, she was on top of the world.",1 class
689,Over the top,To be excessive or extreme,The decorations for the party were over the top and too much.,1 class
690,The top of the heap,Referring to someone or something that is the best or most successful in a group or category,"Among all the students, she was the top of the heap.",1 class
691,From the top,Starting again from the beginning or the first step,Let's start the dance routine from the top so everyone knows the steps.,1 class
692,Go over the top,To exceed what is necessary or expected,The group went over the top with their project and got a great grade.,1 class
693,Go to the top,To achieve great success or reach a high position,"If you work hard, you can go to the top and achieve your dreams.",1 class
694,Hard to top,Referring to something that is very good and difficult to surpass,"Her performance was hard to top, and no one else could do better.",1 class
695,Over the top rope,"In wrestling, to be thrown out of the ring over the top rope, which is considered a disqualification",The wrestler was disqualified for going over the top rope during the match.,1 class
696,Reach for the top,To strive for the highest level of success or achievement,"Don't settle for less, reach for the top and aim high.",1 class
697,Rock the boat (or boat topper),To cause trouble or create a disturbance,"If you rock the boat too much, you might upset everyone on the boat.",1 class
698,Shake the top,To be extremely surprised or shocked by something,The news of the surprise party shook the top off and she was very excited.,1 class
699,The top dog,Referring to the most powerful or influential person or organization in a group or field,"In the company, the CEO is the top dog and makes all the important decisions.",1 class
700,The top of the line,Referring to the best or highest quality of a product or service,"The new phone is the top of the line, and everyone wants to have it.",1 class
701,Top of the world,Feeling very happy and successful,"After receiving an award, he felt on top of the world.",1 class
702,Top priority,Referring to something that is considered the most important and must be done before anything else,Finishing homework is my top priority before playing video games.,1 class
703,Top shelf,Referring to something that is of the highest quality or value,The store's top shelf items are very expensive but also very good.,1 class
704,Top to bottom,Referring to something that covers everything from the beginning to the end,The house needs to be cleaned from top to bottom before the guests arrive.,1 class
705,Top-notch,Referring to something that is of the highest quality or excellence,"The restaurant's food is top-notch, and everyone loves eating there.",1 class
706,Top-secret,Referring to something that is kept confidential and cannot be shared with anyone outside of a specific group or organization,The government's top-secret documents are only accessible to authorized personnel.,1 class
1660,Apple of my eye,Someone who is cherished or loved deeply,My little sister is the apple of my eye.,1 class
1661,Big cheese,An important or influential person,The CEO of the company is the big cheese.,1 class
1662,Cat nap,"A short, light sleep",I took a cat nap after lunch to feel refreshed.,1 class
1663,Dog days,The hottest days of summer,We spent most of the dog days at the beach.,1 class
1664,Elephant in the room,An obvious problem or issue that people avoid talking about,We need to address the elephant in the room and talk about our budget.,1 class
1665,Fish out of water,Someone who feels uncomfortable or out of place,I feel like a fish out of water at this fancy restaurant.,1 class
1666,Frog in my throat,Difficulty speaking due to nervousness or a sore throat,I couldn't speak clearly because I had a frog in my throat.,1 class
1667,Gift horse,A gift that should be appreciated without criticism,"I know the shirt is ugly, but don't look a gift horse in the mouth.",1 class
1668,Head in the clouds,Daydreaming or not paying attention to reality,He's always got his head in the clouds and never listens.,1 class
1669,Jumping the gun,Acting prematurely or before the appropriate time,"We don't have all the details yet, so don't jump the gun.",1 class
1670,Keep your chin up,Stay positive or optimistic in a difficult situation,"I know you failed the test, but keep your chin up and try again.",1 class
1671,Lemon,Something that is a disappointment or of poor quality,The car we bought turned out to be a lemon.,1 class
1672,Monkey business,Mischievous or dishonest behavior,The kids were up to some monkey business in the backyard.,1 class
1673,Night owl,Someone who stays up late or is active at night,My dad is a night owl and often works late.,1 class
1674,Over the moon,Extremely happy or delighted,She was over the moon when she found out she got the job.,1 class
1675,Piggy bank,A container for storing loose change,I save all my spare change in my piggy bank.,1 class
1676,Quiet as a mouse,Very quiet and silent,We had to be quiet as a mouse while the baby was sleeping.,1 class
1677,Red letter day,A special or significant day,Your first day of school is a red letter day!,1 class
1678,Sugar and spice,The perfect combination of sweet and nice qualities,She's got a mix of sugar and spice in her personality.,1 class
1679,Time flies,Time passes quickly,I can't believe it's already time to go home. Time flies!,1 class
1680,Under the weather,Feeling unwell or sick,I'm feeling under the weather and need to stay home today.,1 class
1681,Vanishing act,Disappearing or becoming difficult to find or contact,He pulled a vanishing act and no one knows where he went.,1 class
1682,Water under the bridge,Something that has happened in the past and cannot be changed or undone,Let's forget about the argument. It's water under the bridge now.,1 class
1683,X marks the spot,A clue to a hidden treasure,The map shows that X marks the spot where the treasure is hidden.,1 class
1684,Yellow belly,Someone who is cowardly or easily frightened,He's a yellow belly and won't go on the roller coaster ride.,1 class
1685,all of us,everyone in the group,All of us are going to the park.,1 class
1686,he/she/it is a handful,he/she/it is difficult to control,My little brother is a handful.,1 class
1687,they are like two peas in a pod,they are very similar,Tom and Tim are like two peas in a pod.,1 class
1688,it's mine,it belongs to me,This toy is mine.,1 class
1689,we're in this together,we are working as a team,"Let's remember, we're in this together.",1 class
1690,he/she/it is on his/her/its way out,he/she/it is about to leave or be replaced,The old computer is on its way out.,1 class
1691,they have a lot of baggage,they have a lot of emotional problems,Tom and Tina have a lot of baggage.,1 class
1692,they are attached at the hip,they are always together,Billy and Bobby are attached at the hip.,1 class
1693,she's a real treasure,she is very special,My grandma is a real treasure.,1 class
1694,they are all ears,they are listening attentively,The kids were all ears when the story began.,1 class
1695,we have each other's backs,we support and protect each other,Let's make a pact to always have each other's backs.,1 class
1696,he/she/it is out of his/her/its mind,he/she/it is crazy,Billy is out of his mind for thinking he can fly.,1 class
1697,it's up to me,it's my responsibility,It's up to me to make sure everyone has a snack.,1 class
1698,they are miles apart,they have very different opinions,Tina and Tom are miles apart on their views of pizza.,1 class
1699,we are like family,we are very close,My friends at school are like family.,1 class
1700,he/she/it is over the moon,he/she/it is very happy,Sally was over the moon when she got a puppy.,1 class
1701,they are just like us,they are very similar to us,The kids from the other school are just like us.,1 class
1702,she's on cloud nine,she is very happy,My mom is on cloud nine after her promotion.,1 class
1703,they have something up their sleeve,they have a secret plan,The teachers have something up their sleeve for tomorrow.,1 class
1704,it's none of your business,it's not your concern,What I do in my free time is none of your business.,1 class
1705,we need to stick together,we need to work as a team,Let's stick together and get this project done.,1 class
1706,he/she/it is a pain in the neck,he/she/it is annoying,My little brother is a pain in the neck.,1 class
1707,they are on the same page,they have the same idea or plan,The team is finally on the same page.,1 class
1708,it's their fault,they are responsible,The mess in the classroom is their fault.,1 class
1709,they have each other's number,they know each other very well,Billy and Bobby have each other's number.,1 class
1710,she's a real piece of work,she is very unique,My aunt is a real piece of work with her fashion sense.,1 class
1711,they are on top of the world,they are very happy and successful,Tom and Tina are on top of the world after their big win.,1 class
1712,we're a team,we work together,Let's remember that we're a team and we can accomplish anything.,1 class
1713,break the ice,to start a conversation or activity to make people feel more comfortable,I told a joke to break the ice at the party.,1 class
1714,hit the books,to study hard,I need to hit the books if I want to pass my test.,1 class
1715,kick the bucket,to die,My grandpa kicked the bucket last night.,1 class
1716,let the cat out of the bag,to reveal a secret,She accidentally let the cat out of the bag about the surprise party.,1 class
1717,pop the question,to propose marriage,He's going to pop the question to his girlfriend tonight.,1 class
1718,take a raincheck,to decline an invitation but suggest that you may attend at a later time,"I'm sorry, I can't come to your party tonight, but I'll take a raincheck.",1 class
1719,pull someone's leg,to playfully tease someone,"He's not really a superhero, he's just pulling your leg.",1 class
1720,spill the beans,to reveal a secret,I'm going to spill the beans about the surprise party.,1 class
1721,break a leg,to wish someone good luck,Break a leg on your performance tonight!,1 class
1722,chew someone out,to scold someone severely,I got chewed out by my boss for being late.,1 class
1723,hit the nail on the head,to be exactly right about something,You hit the nail on the head with that suggestion.,1 class
1724,jump the gun,to start something too soon,I think we're jumping the gun by announcing the project before it's finished.,1 class
1725,pull your weight,to do your fair share of work,"If you want to be part of the team, you need to pull your weight.",1 class
1726,shake a leg,to hurry up,"Come on, let's shake a leg or we'll be late.",1 class
1727,sit tight,to wait patiently,Just sit tight and we'll be there soon.,1 class
1728,spill the tea,to gossip,She loves to spill the tea about everyone she knows.,1 class
1729,step up to the plate,to take on a challenge,It's time to step up to the plate and show everyone what you're made of.,1 class
1730,take the bull by the horns,to take charge of a situation,"If you want to succeed, you need to take the bull by the horns.",1 class
1731,burn the midnight oil,to stay up late working or studying,I had to burn the midnight oil to finish my essay.,1 class
1732,come clean,to tell the truth about something you have been hiding,It's time to come clean about what really happened.,1 class
1733,hit the jackpot,to have great success or good luck,I hit the jackpot with my investment and made a lot of money.,1 class
1734,jump through hoops,to go to great lengths or make great efforts to accomplish something,"I had to jump through hoops to get the job, but it was worth it.",1 class
1735,keep your chin up,to stay positive and not give up hope,"Don't worry, keep your chin up and things will get better.",1 class
1736,let someone off the hook,to forgive someone or release them from a responsibility,"I'm going to let you off the hook this time, but don't let it happen again.",1 class
1737,make a mountain out of a molehill,to make a small problem seem much bigger than it really is,"Don't make a mountain out of a molehill, it's just a small mistake.",1 class
1738,All of a sudden,Suddenly,"All of a sudden, it started raining heavily.",1 class
1739,As slow as a snail,Very slow,He's walking as slow as a snail.,1 class
1740,By and by,"Eventually, at some time in the future","By and by, you'll get the hang of riding a bike.",1 class
1741,Down the road,In the future,"Down the road, you'll realize how important education is.",1 class
1742,Every now and then,Occasionally,I treat myself to a chocolate every now and then.,1 class
1743,Fast and furious,Very fast and reckless,The car was going fast and furious down the highway.,1 class
1744,Hardly ever,Rarely,I hardly ever eat broccoli because I don't like it.,1 class
1745,In a flash,Very quickly,She cleaned her room in a flash before her mom got home.,1 class
1746,Just in time,At the last possible moment before it's too late,I arrived just in time for the concert.,1 class
1747,Keep in touch,To stay connected or communicate regularly,Let's exchange numbers and keep in touch.,1 class
1748,Like a bat out of hell,Very fast and reckless,He drove like a bat out of hell to get to the hospital.,1 class
1749,Much obliged,Thank you,Much obliged for the help with my homework.,1 class
1750,Now and then,Occasionally,"Now and then, I like to go for a walk in the park.",1 class
1751,Once in a while,Occasionally,"I eat pizza once in a while, but not too often.",1 class
1752,Pretty soon,"Soon, in the near future","The cake will be ready pretty soon, so be patient.",1 class
1753,Quickly,Fast,He finished his homework quickly so he could go play.,1 class
1754,Right away,Immediately,He needs medical attention right away!,1 class
1755,Slow and steady,"Slow, but consistent and steady",You'll get better at math with slow and steady practice.,1 class
1756,So far so good,Everything is going well so far,"So far so good, we haven't had any problems with the project.",1 class
1757,The more the merrier,"The more people or things there are, the better and more fun it is",Let's invite everyone! The more the merrier.,1 class
1758,Under the table,Secretly or dishonestly,They made a deal under the table without anyone knowing.,1 class
1759,Very often,Frequently,I brush my teeth very often to keep them clean.,1 class
1760,Without fail,"Every time, without exception",He exercises every morning without fail.,1 class
1761,X amount of times a day,A specific number of times per day,The doctor said to take the medicine three times a day.,1 class
1762,Year after year,Every year,We go to the beach year after year for our family vacation.,1 class
1763,Zip your lip,"Be quiet, don't talk",Zip your lip and let me finish talking.,1 class
1764,All together,Everyone or everything together,Let's sing the song all together.,1 class
1765,Behind the scenes,"Secretly, without others knowing",The plan was made behind the scenes without anyone knowing.,1 class
1766,Cross my heart,I promise,"I won't tell anyone, cross my heart.",1 class
1767,A picture is worth a thousand words,A visual image can convey a message more effectively than words,"My dad showed me a picture of the new car we were going to buy. He said, A picture is worth a thousand words.",1 class
1768,Actions speak louder than words,What you do is more important than what you say,"My friend promised to help me with my homework, but she never did. My mom told me, Actions speak louder than words.",1 class
1769,All is well that ends well,"As long as the outcome is good, the problems encountered along the way don't matter","We had some trouble setting up the picnic, but everyone had a great time in the end. My teacher said, All is well that ends well.",1 class
1770,An apple a day keeps the doctor away,Eating healthy foods can help you stay healthy and avoid illness,"My mom always reminds me to eat my fruits and vegetables. She says, An apple a day keeps the doctor away.",1 class
1771,Barking up the wrong tree,To pursue the wrong course of action or to ask the wrong person,"My brother asked my dad for help with his math homework, but my dad doesn't know how to do it. I told my brother, You're barking up the wrong tree.",1 class
1772,Better late than never,It's better to do something late than to never do it at all,"I forgot to bring my book to school, but I brought it later in the day. My teacher told me, Better late than never.",1 class
1773,Don't count your chickens before they're hatched,Don't assume that something will happen before it actually happens,"My sister was already planning what she would do with her prize money before she won the contest. My mom told her, Don't count your chickens before they're hatched.",1 class
1774,Don't cry over spilled milk,Don't get upset about something that can't be changed,"I accidentally spilled my juice on the table, and my sister started crying. My dad said, Don't cry over spilled milk.",1 class
1775,Every cloud has a silver lining,There is something positive in every negative situation,"It rained during our beach trip, but we found a fun indoor activity to do instead. My mom said, Every cloud has a silver lining.",1 class
1776,Fortune favors the bold,People who take risks are more likely to be successful,"I was nervous to try out for the school play, but I did it anyway. My drama teacher told me, Fortune favors the bold.",1 class
1777,Haste makes waste,"When you rush, you're more likely to make mistakes","I was in a hurry to finish my homework, but I accidentally skipped a page. My dad said, Haste makes waste.",1 class
1778,Home is where the heart is,Your home is where you feel comfortable and loved,"We moved to a new house, but I still miss our old neighborhood. My mom said, Home is where the heart is.",1 class
1779,"If the shoe fits, wear it","If something applies to you, accept it","My friend accused me of being mean, but I didn't think I was. My mom said, If the shoe fits, wear it.",1 class
1780,In the blink of an eye,Very quickly or suddenly,"We were playing a game, and before I knew it, the time was up. My teacher said, It went by in the blink of an eye.",1 class
1781,Big as a house,Very large,The elephant was big as a house.,1 class
1782,Bright as a button,Very intelligent or alert,"She's bright as a button, always getting A's in school.",1 class
1783,Clean as a whistle,Very clean or pure,Her house was clean as a whistle after she finished cleaning.,1 class
1784,Cold as ice,Very cold or unfriendly,The teacher was cold as ice when she caught the student cheating.,1 class
1785,Dark as night,Very dark,The room was dark as night without any lights.,1 class
1786,Dead as a doornail,Completely dead or lifeless,The battery was dead as a doornail and wouldn't charge.,1 class
1787,Easy as pie,Very easy,The math problem was easy as pie for the student to solve.,1 class
1788,Famous as a movie star,Very famous,The actor was famous as a movie star.,1 class
1789,Fat as a pig,Very fat,The pig was fat as a pig after eating so much.,1 class
1790,Fine as silk,Very fine or smooth,The fabric was fine as silk and felt great against the skin.,1 class
1791,Flaky as a pastry,Unreliable or inconsistent,The employee was flaky as a pastry and never showed up to work.,1 class
1792,Happy as a clam,Very happy or contented,She was happy as a clam after getting an A on her test.,1 class
1793,Hard as nails,Very tough or resilient,The football player was hard as nails and never gave up.,1 class
1794,High as a kite,Very intoxicated or under the influence of drugs or alcohol,He was high as a kite after smoking marijuana.,1 class
1795,Hot as fire,Very hot,The sand was hot as fire under the summer sun.,1 class
1796,Hungry as a wolf,Very hungry,He was hungry as a wolf after skipping lunch.,1 class
1797,Light as a feather,Very light or weightless,The pillow was light as a feather and easy to carry.,1 class
1798,Loud as a lion,Very loud,The lion roared loud as a lion in the jungle.,1 class
1799,Old as the hills,Very old or ancient,The building was old as the hills and in need of renovation.,1 class
1800,Rich as Croesus,Very wealthy,The business owner was rich as Croesus and had a private jet.,1 class
1801,Scared as a rabbit,Very scared or frightened,The child was scared as a rabbit after watching a horror movie.,1 class
1802,Short and sweet,Concise and to the point,The email was short and sweet and conveyed the message clearly.,1 class
1803,Sick as a dog,Very sick,The patient was sick as a dog with the flu.,1 class
1804,Slow as molasses,Very slow,The turtle was slow as molasses in the race.,1 class
1805,Smart as a whip,Very intelligent or clever,The student was smart as a whip and aced the test.,1 class
1806,Smooth as glass,Very smooth,The ice was smooth as glass and perfect for skating.,1 class
1807,Soft as a pillow,Very soft or gentle,The blanket was soft as a pillow and kept her warm at night.,1 class
1808,Solid as a rock,Very strong or stable,The foundation was solid as a rock and held up the building.,1 class
1809,Soft touch,"A gentle, kind or compassionate person","My aunt is a soft touch, she always gives us candies.",1 class
1810,Soft spot,A weakness for someone or something,"I have a soft spot for ice cream, I can never resist it.",1 class
1811,Soft-pedal,To downplay or make less of something,The company decided to soft-pedal the issue and not make it a big deal.,1 class
1812,Soft in the head,To be silly or foolish,"Don't listen to him, he's a bit soft in the head.",1 class
1813,Soft sell,A subtle approach to selling something,The salesperson used a soft sell to convince us to buy the car.,1 class
1814,Soften the blow,To make bad news easier to accept,He brought me chocolates to soften the blow of the bad news.,1 class
1815,Soften one's stance,To become less strict or severe in one's position,The politician decided to soften his stance on immigration.,1 class
1816,Soft-soap,To flatter or be overly polite to someone in order to gain an advantage,The salesman tried to soft-soap me into buying the product.,1 class
1817,Soft target,An easy target,The store was a soft target for burglars because of its poor security.,1 class
1818,Soft pedal,To lessen or reduce the intensity or force of something,He decided to soft pedal the conversation to avoid a fight.,1 class
1819,Soft-hearted,A person who is kind and sympathetic,My grandmother is very soft-hearted and always helps people in need.,1 class
1820,Soft skills,"Non-technical skills, such as communication and teamwork, that are important for success in the workplace",Employers often look for candidates with strong soft skills.,1 class
1821,Soft drink,A non-alcoholic drink,Would you like a soft drink or water with your meal?,1 class
1822,Soft in the middle,To be weak or indecisive,The manager was criticized for being soft in the middle and not taking a clear position on the issue.,1 class
1823,Soft touch approach,A gentle or sympathetic approach to dealing with a problem or situation,The school took a soft touch approach to the student's misbehavior.,1 class
1824,Soft launch,A quiet or low-key introduction of a product or service,The company decided to do a soft launch of the new product before doing a big marketing campaign.,1 class
1825,Soft spot for animals,To love and be fond of animals,She has a soft spot for animals and volunteers at the animal shelter every weekend.,1 class
1826,Soft currency,A currency that is not widely accepted and has a low value,The country's soft currency made it difficult to do business with other countries.,1 class
1827,Soft drink tax,A tax on sugary beverages,The government imposed a soft drink tax to reduce the consumption of unhealthy drinks.,1 class
1828,Soft-focus,A blurry or unfocused image or view,The artist used a soft-focus effect to create a dreamy atmosphere in the painting.,1 class
1829,Soft option,An easier or less challenging choice,He chose the soft option and took the easier exam.,1 class
1830,Soft power,The ability to influence others through attraction and persuasion rather than coercion or force,"The country's soft power, through its culture and ideas, helped it gain influence in the world.",1 class
1831,Soft-centered,A food or candy that has a soft or creamy center,I love chocolates that are soft-centered.,1 class
1832,Soft on crime,To be lenient or not tough enough on criminals,Some people criticize the judge for being soft on crime and not imposing harsher sentences for the criminal.,1 class
1833,all or nothing,either everything is achieved or nothing is achieved,The whole group has to cooperate if we want to win the game; it's all or nothing.,1 class
1834,as well as,in addition to,"We offer Italian, French, as well as Spanish classes.",1 class
1835,come rain or shine,"in any circumstances, whether good or bad",I'll be at the game come rain or shine.,1 class
1836,either or,one of two options must be chosen,You can either have cake or ice cream for dessert.,1 class
1837,neither here nor there,not important or relevant,His excuse was neither here nor there; he simply didn't show up on time.,1 class
1838,not only but also,used to introduce additional information,"The chef not only cooked a delicious meal, but also provided excellent service.",1 class
1839,now and then,occasionally,She visits her grandparents now and then.,1 class
1840,on and on,continuously and for a long time,The speaker kept going on and on about a topic that no one was interested in.,1 class
1841,once in a while,occasionally,I like to indulge in a piece of chocolate once in a while.,1 class
1842,out and about,active and doing things outside the house,"He's been out and about all day, running errands and meeting people.",1 class
1843,sooner or later,eventually,"Sooner or later, we will have to confront the problem.",1 class
1844,up and down,"fluctuating, inconsistent",The stock market has been up and down lately.,1 class
1845,whether or not,regardless of whether,I will go to the party whether or not my friend comes with me.,1 class
1846,with all due respect,used to express disagreement in a polite way,"With all due respect, I disagree with your opinion.",1 class
1847,year in and year out,"consistently, every year",She has been performing at the theater year in and year out.,1 class
254,A piece of cake,Very easy,The math test was a piece of cake.,2 class
255,All ears,Listening intently,"I'm all ears, tell me what happened.",2 class
256,Apple of my eye,Someone or something cherished,My little sister is the apple of my eye.,2 class
257,Back to the drawing board,Starting over because the first attempt failed,We need to go back to the drawing board and come up with a new plan.,2 class
258,Barking up the wrong tree,Accusing the wrong person or pursuing the wrong course of action,"If you think I broke the vase, you're barking up the wrong tree.",2 class
259,Beat around the bush,Avoiding the main topic or issue,Stop beating around the bush and tell me what you really think.,2 class
260,Between a rock and a hard place,Stuck between two difficult choices,I'm between a rock and a hard place because I have two parties to attend tonight.,2 class
261,Break a leg,Good luck,Break a leg on your performance tonight!,2 class
