id,metaphor,meaning,example,relevance
642,Dragon's breath,Hot air or steam that feels like it's coming from a dragon's mouth,The soup was so hot it felt like dragon's breath.,Prep Class
643,Dreamy moon,A moon that looks like it belongs in a dream,The dreamy moon made the night seem mysterious.,Prep Class
644,Distant thunder,The sound of thunder that is far away,We could hear the distant thunder as the storm approached.,Prep Class
645,Diamond dust,Fine snowflakes that sparkle like diamonds,The diamond dust made the winter landscape look magical.,Prep Class
646,Dainty flower,A small and delicate flower,The dainty flower looked so pretty in the garden.,Prep Class
647,Early bird,Someone who wakes up or starts something early,"Mom is an early bird, she wakes up at 5 am every day.",Prep Class
648,Elephant in the room,An obvious problem or issue that everyone is aware of but no one wants to talk about,The broken vase on the table was the elephant in the room that no one wanted to mention.,Prep Class
649,Energizer bunny,Someone who has lots of energy and keeps going and going,"My little brother is like the Energizer bunny, he never stops moving.",Prep Class
650,Eye of the storm,The calm center of a chaotic situation,"In the middle of the fight, my sister was the eye of the storm, she remained calm and rational.",Prep Class
651,Easy as pie,Something that is very easy to do,Learning to ride a bike was easy as pie for me.,Prep Class
652,End of the road,The point beyond which something cannot continue,"When we reached the end of the road, we had to turn around and go back.",Prep Class
653,Easter egg hunt,A game in which children search for hidden Easter eggs,"Every Easter, my cousins and I have an Easter egg hunt in our backyard.",Prep Class
654,Echo chamber,A situation in which people only hear opinions that match their own,Social media can create an echo chamber where we only hear opinions that we agree with.,Prep Class
655,Empty nest,A home from which all children have grown up and left,"After my youngest brother went off to college, my parents had an empty nest.",Prep Class
656,Eye candy,Something that is visually attractive or pleasing,The Christmas decorations in the store were eye candy for the children.,Prep Class
657,Even steven,A situation in which two parties are equal or evenly matched,"After sharing the last cookie, my friend and I were even steven.",Prep Class
658,Exercise your brain,To do mental activities that challenge and strengthen the brain,Playing Sudoku is a great way to exercise your brain.,Prep Class
659,Every cloud has a silver lining,Every difficult or negative situation has a positive aspect,"Even though my bike was stolen, I found a new hobby while looking for it, every cloud has a silver lining.",Prep Class
660,"Easy come, easy go",Something that is gained quickly and easily can also be lost just as quickly,"My brother won a lot of money playing cards, but he lost it all the next day, easy come, easy go.",Prep Class
661,Every dog has its day,Every person or thing will have a moment of success or glory,"Even though I lost the race, I know that every dog has its day.",Prep Class
662,"Early to bed, early to rise, makes a man healthy, wealthy, and wise",Going to bed and waking up early can lead to a healthy and successful life,"My grandfather always says, ""Early to bed, early to rise, makes a man healthy, wealthy, and wise.""",Prep Class
663,Easter bunny,A fictional character who brings Easter eggs and gifts to children,The Easter bunny came to our house and left lots of candy and toys for us.,Prep Class
664,Eat like a bird,To eat small amounts of food,"My sister eats like a bird, she never finishes her meals.",Prep Class
665,Eat your words,To retract or take back something that was said,"After I found out I was wrong, I had to eat my words and apologize.",Prep Class
666,Eye for an eye,The idea that punishment should be equivalent to the crime committed,The judge sentenced the thief to jail time as an eye for an eye.,Prep Class
667,Giggling brook,A small stream that sounds like laughter,The giggling brook flowed through the forest.,Prep Class
668,Golden sun,"The sun, a shining orb of gold",The golden sun rises in the east.,Prep Class
669,Giant tree,A very tall tree,The giant tree provided shade on a hot day.,Prep Class
670,Gentle breeze,A soft and light wind,The gentle breeze blew through her hair.,Prep Class
671,Glittering stars,Bright and shining stars in the night sky,The glittering stars twinkled in the sky.,Prep Class
672,Green carpet,A lush and dense carpet of grass,The green carpet was soft under my feet.,Prep Class
673,Growing garden,A garden with plants that are getting bigger and stronger,Our growing garden is full of flowers and vegetables.,Prep Class
674,Grinning pumpkin,A pumpkin with a carved smiling face,The grinning pumpkin was ready for Halloween.,Prep Class
675,Glowing fire,A fire that emits light and warmth,We roasted marshmallows over the glowing fire.,Prep Class
676,Graceful swan,A swan that moves elegantly and smoothly,The graceful swan glided across the pond.,Prep Class
677,Golden crown,"A shiny, royal headpiece made of gold",The king wore a golden crown on his head.,Prep Class
678,Gentle giant,A big person who is kind and calm,The gentle giant helped the little girl pick up her toys.,Prep Class
679,Giant mountain,A very large mountain that rises high into the sky,We hiked to the top of the giant mountain.,Prep Class
680,Gliding bird,A bird that moves effortlessly through the air,The gliding bird soared over the lake.,Prep Class
681,Grand castle,A large and impressive castle,The grand castle was surrounded by a moat.,Prep Class
682,Green oasis,A place with lush green plants and water,The green oasis was a welcome sight in the desert.,Prep Class
683,Growing flower,A flower that is getting bigger and stronger,The growing flower opened up to the sun.,Prep Class
684,Glittering jewels,Shiny and precious stones,The princess wore a necklace of glittering jewels.,Prep Class
685,Golden key,A key made of gold,The golden key unlocked the treasure chest.,Prep Class
686,Grassy meadow,A wide field filled with grass,The cows grazed in the grassy meadow.,Prep Class
687,Grinning monkey,A monkey with a big smile on its face,The grinning monkey swung from tree to tree.,Prep Class
688,Glowing light,A light that is shining brightly,The glowing light illuminated the room.,Prep Class
689,Gentle rain,A light and soft rainfall,The gentle rain watered the plants.,Prep Class
690,Golden coins,Coins made of gold,The pirate found a treasure chest filled with golden coins.,Prep Class
691,Giant elephant,A very large elephant,The giant elephant trumpeted loudly.,Prep Class
692,Glittering water,Water that sparkles and shines in the sun,The glittering water reflected the sky.,Prep Class
693,Green frog,A frog with green skin,The green frog jumped into the pond.,Prep Class
694,Growing seed,A seed that is starting to grow into a plant,The growing seed sprouted leaves.,Prep Class
695,Grinning cat,A cat with a big smile on its face,The grinning cat curled up in the sun.,Prep Class
696,Glowing moon,"The moon, a shining orb of light",The glowing moon rose above the horizon.,Prep Class
697,Gentle deer,A deer that is calm and peaceful,The gentle deer nibbled on leaves.,Prep Class
698,Keep your eyes peeled,Be alert and watchful,Keep your eyes peeled for any clues on the scavenger hunt.,Prep Class
699,Kind-hearted,Having a kind and caring nature,The kind-hearted teacher always made sure her students felt loved and appreciated.,Prep Class
700,Kiss the sky,Reach for the stars; aim high,"With hard work and determination, you can kiss the sky and achieve your dreams.",Prep Class
435,A bed of roses,An easy and pleasant situation,Going to the park with her friends was a bed of roses for the girl.,1 class
436,A bird in the hand is worth two in the bush,It's better to have something that is certain than to risk losing it by trying to get more,"The boy decided to keep the toy he won at the carnival, knowing that a bird in the hand is worth two in the bush.",1 class
437,A blanket of snow,A thick layer of snow covering the ground,The park was covered in a blanket of snow after a snowstorm.,1 class
438,A breath of fresh air,Something new and refreshing,The girl's new friend was a breath of fresh air in her life.,1 class
439,A bull in a china shop,Someone who is careless and likely to cause damage,The boy felt like a bull in a china shop when he accidentally knocked over a vase.,1 class
440,A butterfly in my stomach,Feeling nervous or anxious,The girl had a butterfly in her stomach before her dance recital.,1 class
441,A busy bee,Someone who is very active and works hard,The girl was a busy bee as she cleaned her room and helped her mom with chores.,1 class
442,A cake walk,Something that is very easy to do,The crossword puzzle was a cake walk for the boy.,1 class
443,A chip off the old block,Someone who resembles their parents in behavior or appearance,The girl was a chip off the old block and had her mother's curly hair.,1 class
444,A dime a dozen,Something that is very common and easy to find,"The park was filled with squirrels, they were a dime a dozen.",1 class
445,A fish out of water,Feeling uncomfortable in a new or unfamiliar situation,The boy felt like a fish out of water when he started a new school.,1 class
446,A friend in need is a friend indeed,A true friend is someone who helps in difficult times,"The girl helped her friend with her homework when she was sick, showing that a friend in need is a friend indeed.",1 class
447,A frog in my throat,Difficulty speaking due to nervousness or illness,The boy had a frog in his throat during his presentation.,1 class
448,A needle in a haystack,Something that is very difficult to find,Finding the lost key in the park was like looking for a needle in a haystack.,1 class
449,A piece of cake,Something that is very easy to do,The spelling test was a piece of cake for the girl.,1 class
450,A ray of sunshine,A positive and cheerful influence,The girl's smile was a ray of sunshine on a cloudy day.,1 class
451,A red herring,Something that is misleading or distracting,"The boy's joke was a red herring, it distracted the class from the lesson.",1 class
452,A snake in the grass,Someone who appears friendly but is actually dangerous,The new student seemed nice but turned out to be a snake in the grass.,1 class
453,A taste of your own medicine,Experiencing the same negative behavior that one has inflicted on others,"The boy didn't like being excluded from the game, he got a taste of his own medicine.",1 class
454,An apple of my eye,Something or someone that is cherished and valued,The girl's baby sister was the apple of her eye.,1 class
455,As cool as a cucumber,Very calm and composed,The boy was as cool as a cucumber during his math test.,1 class
456,As easy as ABC,Very easy,Learning the alphabet was as easy as ABC for the girl.,1 class
457,Cat's meow,Something or someone that is excellent or impressive,The new toy was the cat's meow and all the children wanted to play with it.,1 class
458,Chicken out,To become scared or lose the courage to do something,"The boy wanted to go on the roller coaster, but he chickened out at the last minute.",1 class
459,Clear as crystal,Something that is very clear or easy to understand,The instructions for the game were clear as crystal and everyone knew how to play.,1 class
460,Cold feet,To feel nervous or hesitant about something,The girl had cold feet about performing in the talent show.,1 class
461,Cross your fingers,To hope for good luck or success,The boy crossed his fingers and made a wish before blowing out his birthday candles.,1 class
462,Cry over spilled milk,To be upset about something that has already happened and cannot be changed,The girl cried over spilled milk when she accidentally dropped her ice cream cone.,1 class
463,Curiosity killed the cat,Being too curious can lead to trouble,"The boy was curious about what was inside the box and opened it, even though it wasn't his.",1 class
464,Dark horse,A person who has hidden abilities or talents,The quiet girl in class turned out to be a dark horse and won the school spelling bee.,1 class
465,Dead as a doornail,Completely lifeless or without any activity,The battery in the toy was dead as a doornail and wouldn't turn on.,1 class
466,Diamond in the rough,"Something or someone that has potential, but needs to be polished or developed","The boy was a diamond in the rough when it came to playing soccer, but with practice, he became a great player.",1 class
467,Don't count your chickens before they hatch,Don't assume that something will happen until it actually does,"The girl thought she had won the race, but her coach reminded her not to count her chickens before they hatched.",1 class
468,Down in the dumps,Feeling sad or depressed,The boy was down in the dumps when his best friend moved away.,1 class
469,Dress to kill,Dressing in a way that is very attractive or stylish,The girl was dressed to kill in her fancy dress and sparkly shoes for the school dance.,1 class
470,Drive someone up the wall,To irritate or annoy someone to the point of frustration,The boy's little sister's constant singing drove him up the wall.,1 class
471,Drop in the bucket,A very small or insignificant amount,The money the girl had saved was just a drop in the bucket compared to the cost of the new bike she wanted.,1 class
472,Eagle eye,Very observant and keen sighted,She has an eagle eye and can spot any mistake in her work.,1 class
473,Early bird,Someone who wakes up early,My dad is an early bird and he wakes up at 5 am every day.,1 class
474,Earthquake,A sudden and intense disturbance,The thunderstorm felt like an earthquake as it shook the house.,1 class
475,Easy as pie,Something that is very easy to do,Learning how to ride a bike is as easy as pie.,1 class
476,Eager beaver,Someone who is enthusiastic and eager to do something,My little sister is always an eager beaver to help with cooking dinner.,1 class
477,Ebb and flow,The natural rise and fall of something,The stock market has an ebb and flow that can be unpredictable.,1 class
478,Echo chamber,A situation where people only hear opinions that match their own,Social media can be an echo chamber where people only hear views that agree with their own.,1 class
479,Elephant in the room,"A topic that everyone knows about, but no one wants to talk about",The fact that we're out of toilet paper is the elephant in the room that no one wants to address.,1 class
480,End of the line,The point where something comes to an end,The end of the line for the train is the last station on the route.,1 class
481,Endless possibilities,A situation with countless options,The future is full of endless possibilities for what we can achieve.,1 class
482,Energizer bunny,Someone who has a lot of energy and is always on the go,My little brother is like an Energizer bunny and never stops moving.,1 class
483,English muffin,A type of breakfast bread that is crispy on the outside and soft on the inside,I like to have an English muffin with jam and butter for breakfast.,1 class
484,Even keel,A situation where things are calm and balanced,We need to keep the boat on an even keel to prevent it from capsizing.,1 class
485,Every cloud has a silver lining,There is always something good to be found in a bad situation,"Even though I lost my job, every cloud has a silver lining because it gives me time to focus on my art.",1 class
486,Eye candy,Something that is pleasing to look at,The colorful flowers in the garden are eye candy for anyone passing by.,1 class
487,Eye of the storm,The calm center of a turbulent situation,"Even in the eye of the storm, we must remain calm and focused.",1 class
488,"Easy come, easy go",Something that is easily gained or lost,"The money that I won in the lottery was easy come, easy go because I spent it all in one day.",1 class
489,Elbow grease,Hard work and physical effort,Cleaning the bathroom requires a lot of elbow grease to get it spotless.,1 class
490,Elephant's memory,An ability to remember things for a long time,My grandmother has an elephant's memory and can recall details from her childhood.,1 class
491,Endless love,A love that never fades or ends,My parents have an endless love for each other that has lasted over 30 years.,1 class
492,Every dog has its day,Everyone will have their moment of glory at some point,"Even though I didn't win the contest, I know that every dog has its day and I'll have my moment.",1 class
493,Eye for an eye,A punishment that is equal to the harm done,The justice system often follows the principle of an eye for an eye when punishing criminals.,1 class
494,Easy street,A situation where everything is easy and comfortable,Winning the lottery put me on Easy Street and I never have to worry about money again.,1 class
495,Face the music,Accept the consequences of one's actions,"If you break the vase, you have to face the music and admit what you did.",1 class
496,Fair and square,Something that is done in an honest and fair way,The game was played fair and square with no cheating involved.,1 class
497,Fall head over heels,To be very deeply in love with someone,She fell head over heels for the new boy in class.,1 class
498,Famous as a fox,Someone who is clever and well-known,My grandfather is as famous as a fox for his great stories.,1 class
499,Feather in one's cap,An achievement or accomplishment that one is proud of,Getting an A on the test was a feather in my cap.,1 class
500,Feet of clay,A weakness or flaw in someone's character,"Even though he was a great leader, he had feet of clay and was easily influenced by others.",1 class
501,Fiddle while Rome burns,To waste time doing unimportant things while there is an urgent situation going on,"The politicians fiddled while Rome burned, ignoring the urgent needs of the people.",1 class
502,Fine as frog's hair,Something that is in excellent condition or quality,This antique clock is in fine as frog's hair condition and worth a lot of money.,1 class
503,Fish out of water,To feel uncomfortable or out of place in a new situation,Being the new kid in class can make you feel like a fish out of water.,1 class
504,Fit as a fiddle,To be in good health and physical shape,"Even though she's in her 80s, my grandmother is still fit as a fiddle and goes for a walk every day.",1 class
505,Flash in the pan,Something that seems promising but ends up being a disappointment,The new restaurant was a flash in the pan and closed down after only a few months.,1 class
506,Flat as a pancake,Something that is completely flat or without depth,The landscape in the desert is flat as a pancake with no hills or valleys.,1 class
507,Flogging a dead horse,To continue with a pointless or ineffective activity,Trying to fix the old computer is like flogging a dead horse; it's time to get a new one.,1 class
508,Fly off the handle,To lose one's temper suddenly and unexpectedly,My dad tends to fly off the handle when things don't go as planned.,1 class
509,Follow in someone's footsteps,To do the same things that someone else has done before,I want to follow in my father's footsteps and become a doctor.,1 class
510,Foot in the door,To gain an initial opportunity or advantage that can lead to further success,Getting an internship at the company is a foot in the door to a potential future job.,1 class
511,For the birds,Something that is not worth paying attention to or caring about,"The TV show was so boring, it was for the birds.",1 class
512,Force of nature,Something that is powerful and unstoppable,The hurricane was a force of nature that caused a lot of damage to the coast.,1 class
513,Fresh as a daisy,"Something that is clean, pure, and fresh","After taking a shower, I feel as fresh as a daisy.",1 class
514,From rags to riches,To go from being very poor to very wealthy,The famous singer went from rags to riches after her first hit song.,1 class
515,Full of hot air,Someone who talks a lot but doesn't have anything important to say,The politician's speech was full of hot air and didn't address any real issues.,1 class
516,Funny as a crutch,Something that is not at all funny,"The joke was supposed to be funny, but it was as funny as a crutch.",1 class
517,Get a taste of your own medicine,To experience the same treatment that one has given to others,"After teasing his classmates for months, he finally got a taste of his own medicine when they started teasing him back.",1 class
518,Get cold feet,To become nervous or scared about doing something,She got cold feet before the big presentation and almost backed out.,1 class
519,Get off the hook,To avoid punishment or responsibility for something,He got off the hook for breaking the vase by blaming it on the dog.,1 class
520,Get the ball rolling,To start a process or activity,Let's get the ball rolling on planning the class party.,1 class
521,Give someone the cold shoulder,To ignore or treat someone in a unfriendly manner,She gave her old friend the cold shoulder after they had a fight.,1 class
522,Give someone the green light,To give permission or approval for something to happen,The teacher gave the students the green light to start working on their projects.,1 class
523,Go down in flames,To fail or be unsuccessful in a dramatic or embarrassing way,The team went down in flames during the championship game.,1 class
524,Go out on a limb,To take a risk or do something that is outside of one's comfort zone,She went out on a limb and tried a new hobby that she ended up loving.,1 class
525,Go the extra mile,To make an extra effort or do more than is expected,The employee went the extra mile by staying late to finish the project.,1 class
526,Good as gold,Someone who is well-behaved and obedient,The children were as good as gold during the long car ride.,1 class
527,Good egg,Someone who is kind and reliable,My friend is a good egg who always helps me when I need it.,1 class
528,Goose is cooked,Something that is finished or over with,"After the final exam, the semester is over and the goose is cooked.",1 class
529,Great minds think alike,Two people who have the same idea or thought,"I was just about to suggest we go get ice cream, but you beat me to it. Great minds think alike!",1 class
530,Green with envy,To be extremely jealous,She was green with envy when she saw her friend's new bike.,1 class
531,Grey area,A situation that is unclear or not well-defined,"The rules about homework in the summer were a bit of a grey area, so we weren't sure if we had to do it.",1 class
532,Grin and bear it,To endure something difficult or unpleasant with a positive attitude,"Even though the hike was tough, we had to grin and bear it to get to the beautiful view at the top.",1 class
533,Ground zero,The starting point or center of a disaster or crisis,"The city was devastated by the earthquake, and the epicenter was ground zero for the damage.",1 class
534,Gum up the works,To cause problems or complications in a process or system,The new software update gummed up the works and caused a lot of crashes.,1 class
535,Guts of steel,Someone who is brave and fearless,The firefighter showed guts of steel when she ran into the burning building to save the people inside.,1 class
536,Guy is a loose cannon,Someone who is unpredictable and can be dangerous,The new employee is a loose cannon and we don't know what he will do next.,1 class
537,Gypsy soul,Someone who is adventurous and free-spirited,She has a gypsy soul and loves to travel and explore new places.,1 class
538,Hammer it out,To work through a problem or issue by discussing and resolving it,The team had to hammer out the details of the project before they could move forward.,1 class
539,Happy as a clam,To be very happy and content,"After getting her favorite ice cream, she was as happy as a clam.",1 class
540,Hard nut to crack,Someone or something that is difficult to understand or deal with,"The math problem was a hard nut to crack, but she eventually figured it out.",1 class
541,Has a heart of gold,Someone who is kind and caring,My grandmother has a heart of gold and is always willing to help others.,1 class
542,Head in the clouds,To be unaware of one's surroundings or not paying attention,He had his head in the clouds and didn't notice the traffic light turning red.,1 class
543,Hear it through the grapevine,To hear information through rumors or gossip,She heard it through the grapevine that her favorite band was going on tour.,1 class
544,Heart skipped a beat,"To feel a sudden, strong emotion, such as fear or excitement",Her heart skipped a beat when she saw her crush walk by.,1 class
545,Heavy heart,To feel sad or sorrowful,She had a heavy heart after her pet passed away.,1 class
546,High and dry,To be left in a difficult or helpless situation,"After her car broke down, she was left high and dry without any way to get home.",1 class
547,High as a kite,To be very intoxicated or under the influence of drugs,He was acting high as a kite after taking too many painkillers.,1 class
548,Hit the books,To study or focus on academic work,She had to hit the books to prepare for her final exams.,1 class
549,Hit the nail on the head,To be exactly right or accurate,The teacher hit the nail on the head when she identified the main theme of the book.,1 class
550,Hold your horses,To wait or be patient,"Hold your horses, we can't leave until everyone is ready.",1 class
551,Home run,A big success or accomplishment,The school's fundraiser was a home run and raised a lot of money.,1 class
552,"Hook, line, and sinker",To completely fall for something or be fooled,"He fell for her prank hook, line, and sinker and was embarrassed when he realized it.",1 class
553,Horsing around,To play or joke around in a silly or boisterous manner,The children were horsing around in the park and having a lot of fun.,1 class
554,Hot potato,A controversial or sensitive issue that is difficult to handle,The topic of politics can be a hot potato at family gatherings.,1 class
555,Hush-hush,To keep something secret or confidential,The new project was hush-hush and not yet ready to be announced.,1 class
556,Hustle and bustle,Busy and noisy activity or commotion,The city was full of hustle and bustle during rush hour.,1 class
557,Hypocrite,Someone who says one thing but does another,She called him a hypocrite for preaching about healthy eating while constantly eating junk food.,1 class
327,Time is a thief,Time passes quickly and we can never get it back,"""I can't believe summer break is already over! Time is such a thief.""",2 class
328,Life is a journey,Life is like a long trip with many experiences,"""We are all on a journey, and we never know where it will take us.""",2 class
329,Love is a rose,Love is beautiful but can have thorns or challenges,"""Love is like a rose, it can be hard work but it's worth it for the beauty.""",2 class
330,Anger is a fire,Anger can quickly become out of control and cause destruction,"""When John heard the news, he felt like a fire was burning inside him.""",2 class
331,Knowledge is a key,Knowledge is what opens doors to opportunities,"""Reading books is the key to gaining knowledge.""",2 class
