S.No.,Class / Age,Hyperbole,Meaning,Example Sentence
504,1 class,He is as quick as a rabbit.,He is very fast.,"During the race, he ran so fast, he was as quick as a rabbit."
505,1 class,She has a voice as loud as thunder.,She has a very loud voice.,"When she sang, her voice was so loud, it was as loud as thunder."
506,1 class,He has a nose as big as a watermelon.,He has a very big nose.,"When he sneezed, his nose looked so big, it was as big as a watermelon."
507,1 class,I have a million toys.,I have a lot of toys.,"I love playing with my toys, I have a million of them!"
508,1 class,She runs faster than the speed of light.,She runs very fast.,"Whenever we play tag, she always wins because she runs faster than the speed of light."
509,1 class,My backpack weighs a ton.,My backpack is very heavy.,"My backpack is so heavy, it weighs a ton!"
510,1 class,The sun is as hot as fire.,The sun is very hot.,"It's so hot outside, the sun feels like fire!"
511,1 class,I can eat a mountain of ice cream.,I can eat a lot of ice cream.,"I love ice cream so much, I could eat a mountain of it!"
512,1 class,She sings like an angel.,She sings very beautifully.,"Whenever she sings, it's like we're listening to an angel."
513,1 class,My pencil is as sharp as a needle.,My pencil is very sharp.,"I love using my pencil, it's as sharp as a needle."
514,1 class,I am as tall as a giraffe.,I am very tall.,"I'm the tallest in my class, I'm as tall as a giraffe!"
515,1 class,He has a memory like an elephant.,He remembers things very well.,"Whenever we study together, he always remembers everything, he has a memory like an elephant."
516,1 class,My room is a disaster zone.,My room is very messy.,"I need to clean my room, it's a disaster zone!"
517,1 class,She has a heart of gold.,She is very kind and caring.,"Whenever I'm sad, she always cheers me up, she has a heart of gold."
518,1 class,My dad is as strong as a lion.,My dad is very strong.,"My dad can lift heavy things easily, he's as strong as a lion."
519,1 class,I am as fast as a cheetah.,I am very fast.,"Whenever we race, I always win because I'm as fast as a cheetah."
520,1 class,She is as quiet as a mouse.,She is very quiet.,"Whenever we play hide-and-seek, she can hide so quietly, she's as quiet as a mouse."
521,1 class,My backpack is a black hole.,My backpack is very deep and can hold a lot.,"I love my backpack, it can hold everything I need, it's like a black hole."
522,1 class,He is as brave as a superhero.,He is very brave.,"Whenever we play superheroes, he always acts so brave, he's as brave as a superhero."
523,1 class,I have a thousand friends.,I have a lot of friends.,"I love spending time with my friends, I have a thousand of them!"
524,1 class,She is as sweet as candy.,She is very sweet and kind.,"Whenever I need help, she always offers to help, she's as sweet as candy."
525,1 class,My bike is as fast as a rocket.,My bike is very fast.,"I love riding my bike, it's as fast as a rocket."
526,1 class,He is as smart as a computer.,He is very smart.,"Whenever we have a test, he always gets top marks, he's as smart as a computer."
527,1 class,The sun is a giant ball of fire.,The sun is very hot.,"It's so hot outside, it feels like we're standing right next to a giant ball of fire!"
528,1 class,The sun is as bright as a million light bulbs.,The sun is very bright.,I have to wear sunglasses because the sun is as bright as a million light bulbs!
529,1 class,"The sun is a huge, glowing star.",The sun is very big and bright.,"The sun is the biggest, brightest star in our solar system, it's a huge, glowing star!"
530,1 class,The sun is as hot as the surface of the sun.,The sun is very hot.,I can't go outside without sunscreen because the sun is as hot as the surface of the sun.
531,1 class,The sun is a giant yellow ball in the sky.,The sun is very big and bright.,"When I look up at the sky, I see a giant yellow ball that is the sun."
532,1 class,The sun is as big as the universe.,The sun is very big.,"The sun is the biggest thing I know, it's as big as the universe!"
533,1 class,The sun is a blazing inferno in the sky.,The sun is very hot.,"The sun is so hot, it's like a blazing inferno in the sky!"
534,1 class,"The sun is a massive, shining sphere.",The sun is very big and bright.,"The sun is a massive, shining sphere that lights up the entire solar system."
535,1 class,The sun is a golden ball in the sky.,The sun is very bright and golden-colored.,"When the sun sets, it looks like a golden ball in the sky."
536,1 class,The sun is a glowing orb in the heavens.,The sun is very bright and visible in the sky.,"When I look up at the sky, I see a glowing orb that is the sun."
537,1 class,The sun is a scorching furnace in the sky.,The sun is very hot.,I can't stay outside for too long because the sun is like a scorching furnace in the sky.
538,1 class,The sun is a blinding light in the sky.,The sun is very bright.,"When the sun is at its highest, it's like a blinding light in the sky."
539,1 class,"The sun is a massive, fiery ball.",The sun is very big and hot.,"The sun is a massive, fiery ball that provides light and warmth to our planet."
540,1 class,The sun is as hot as the center of the Earth.,The sun is very hot.,"It's so hot outside, it feels like the sun is as hot as the center of the Earth!"
541,1 class,The sun is a massive inferno of heat and light.,The sun is very hot and bright.,"When I look at the sun, it's like a massive inferno of heat and light in the sky."
542,1 class,The sun is as bright as a thousand stars.,The sun is very bright.,"When the sun is at its brightest, it's like a thousand stars shining in the sky."
543,1 class,"The sun is a brilliant, shining orb.",The sun is very bright and visible in the sky.,"When I look up at the sky, I see a brilliant, shining orb that is the sun."
544,1 class,"The moon is so big and bright, it lights up the whole sky!",The moon is very large and bright.,"Look at the moon, it's so big and bright tonight that it's lighting up the whole sky!"
545,1 class,I wish I could reach up and touch the moon!,Expressing a desire to do something that is impossible.,"The moon looks so close that I wish I could reach up and touch it, but I know it's too far away."
546,1 class,The moon is like a giant glowing ball in the sky!,"Describing the moon as a large, bright object.","Look at the moon, it's like a giant glowing ball in the sky!"
547,1 class,"The moon is so beautiful, it takes my breath away!",Describing the moon as very beautiful.,"When I look at the moon, it's so beautiful that it takes my breath away!"
548,1 class,The moon is as big as a giant pumpkin in the sky!,Comparing the size of the moon to a large object.,"Look at the moon, it's as big as a giant pumpkin in the sky tonight!"
549,1 class,The moon looks like a silver dollar in the sky!,"Comparing the appearance of the moon to a small, round object.",The moon is so small tonight that it looks like a silver dollar in the sky!
550,1 class,"The moon is so bright, it's like a giant flashlight in the sky!",Comparing the brightness of the moon to a powerful light.,"When the moon is full, it's so bright that it's like a giant flashlight in the sky!"
551,1 class,"The moon is so pretty, it's like a shining diamond in the sky!",Comparing the beauty of the moon to a precious gem.,"Look at the moon, it's so pretty tonight that it's like a shining diamond in the sky!"
552,1 class,The moon is as pale as a ghost in the sky!,Comparing the color of the moon to a pale or white object.,The moon is so pale tonight that it looks like a ghost in the sky!
553,1 class,"The moon is so close, I feel like I could almost touch it!",Expressing a feeling of closeness to the moon.,The moon is so close tonight that I feel like I could almost touch it with my hand!
554,1 class,The moon is like a giant nightlight in the sky!,Comparing the moon to a light that illuminates the night.,"When the moon is full, it's like a giant nightlight in the sky!"
555,1 class,"The moon is so big, it's like a giant cookie in the sky!","Comparing the size of the moon to a large, round object.",The moon is so big tonight that it looks like a giant cookie in the sky!
556,1 class,"The moon is so magical, it makes me believe in fairy tales!",Describing the moon as having a magical quality.,"When I look at the moon, it's so magical that it makes me believe in fairy tales and stories of enchanted worlds."
557,1 class,"The moon is so bright, it's like a spotlight in the sky!",Comparing the brightness of the moon to a powerful spotlight.,"When the moon is full, it's so bright that it's like a spotlight in the sky!"
558,1 class,"That puzzle is so easy, I could solve it with my eyes closed!",Describing something as very easy.,"This puzzle is so easy, I could solve it with my eyes closed!"
559,1 class,"This test is a piece of cake, I'll finish it in no time!",Describing a test as very easy.,"This test is a piece of cake, I'll finish it in no time!"
560,1 class,"This game is so easy, I could play it with my eyes closed!",Describing a game as very easy.,"This game is so easy, I could play it with my eyes closed!"
561,1 class,"This math problem is so easy, I could solve it in my sleep!",Describing a math problem as very easy.,"This math problem is so easy, I could solve it in my sleep!"
562,1 class,"This book is so easy to read, I finished it in one day!",Describing a book as very easy to read.,"This book is so easy to read, I finished it in one day!"
563,1 class,"This project is so easy, I'll finish it in no time!",Describing a project as very easy.,"This project is so easy, I'll finish it in no time!"
564,1 class,"This game is so easy, it's like child's play!",Comparing the easiness of a game to something that is very easy for children.,"This game is so easy, it's like child's play!"
565,1 class,"This problem is so easy, it's a no-brainer!",Describing a problem as very easy.,"This problem is so easy, it's a no-brainer!"
566,1 class,"This exercise is so easy, it's a breeze!",Describing an exercise as very easy.,"This exercise is so easy, it's a breeze!"
567,1 class,"This task is so easy, it's a walk in the park!",Describing a task as very easy.,"This task is so easy, it's a walk in the park!"
568,1 class,"This puzzle is so easy, it's like putting together a simple puzzle!",Comparing the easiness of a puzzle to putting together a simple puzzle.,"This puzzle is so easy, it's like putting together a simple puzzle!"
569,1 class,"This assignment is so easy, I finished it in minutes!",Describing an assignment as very easy.,"This assignment is so easy, I finished it in minutes!"
570,1 class,"This game is so easy, it's like shooting fish in a barrel!",Comparing the easiness of a game to something that is very easy to do.,"This game is so easy, it's like shooting fish in a barrel!"
571,1 class,"This question is so easy, it's a piece of cake!",Describing a question as very easy.,"This question is so easy, it's a piece of cake!"
572,1 class,"This activity is so easy, it's like taking candy from a baby!",Comparing the easiness of an activity to taking candy from a baby.,"This activity is so easy, it's like taking candy from a baby!"
573,1 class,"This game is so easy, it's like playing with toy blocks!",Comparing the easiness of a game to playing with toy blocks.,"This game is so easy, it's like playing with toy blocks!"
354,2 class,I've told you a million times.,I've told you a lot of times.,I've told you a million times to tie your shoes before going outside.
355,2 class,It's raining cats and dogs.,It's raining heavily.,I can't go outside because it's raining cats and dogs.
356,2 class,I could eat a horse.,I am very hungry.,"I haven't eaten all day, I could eat a horse!"
357,2 class,I'm so hungry I could eat a whole cow.,I am very hungry.,I'm starving! I'm so hungry I could eat a whole cow.
358,2 class,He's as tall as a giant.,He is very tall.,"He's as tall as a giant, I can barely see his face."
359,2 class,Her smile lit up the whole room.,Her smile was very bright and beautiful.,"When she walked in, her smile lit up the whole room."
360,2 class,I'm dying of boredom.,I am extremely bored.,"This movie is so boring, I feel like I'm dying of boredom."
361,2 class,I've been waiting for ages.,I have been waiting for a long time.,I've been waiting for ages for the bus to arrive.
362,2 class,My backpack weighs a ton.,My backpack is very heavy.,"My backpack weighs a ton, I can barely carry it."
363,2 class,She's as quiet as a mouse.,She is very quiet.,"She's as quiet as a mouse, I didn't even know she was in the room."
364,2 class,I have a ton of homework.,I have a lot of homework.,"I can't play with you right now, I have a ton of homework to do."
365,2 class,The playground is a million miles away.,The playground is very far away.,"I can't wait to get to the playground, even though it feels like it's a million miles away."
366,2 class,The library has a million books.,The library has a lot of books.,"I love going to the library, it feels like there are a million books to choose from."
367,2 class,I'm so tired I could sleep for a year.,I am very tired.,"After running around all day, I'm so tired I could sleep for a year."
368,2 class,He's as strong as an ox.,He is very strong.,"He's as strong as an ox, he can lift anything."
369,2 class,I've been studying forever.,I have been studying for a long time.,I feel like I've been studying forever for this test.
370,2 class,She's as pretty as a picture.,She is very pretty.,"She's as pretty as a picture, I wish I looked like her."
371,2 class,I have a million things to do.,I have a lot of things to do.,"I can't play right now, I have a million things to do before dinner."
372,2 class,The line for the slide is a mile long.,The line for the slide is very long.,"I don't want to wait in line for the slide, it's a mile long!"
373,2 class,He's as fast as lightning.,He is very fast.,"He's as fast as lightning, I can't catch him."
374,2 class,He's as strong as an ox.,He is very strong.,"He's as strong as an ox, he can lift anything."
375,2 class,I have the strength of ten people.,I am very strong.,"I was able to lift that heavy box all by myself, I have the strength of ten people!"
376,2 class,My muscles are made of steel.,My muscles are very strong.,I was able to lift the heavy weights easily because my muscles are made of steel.
377,2 class,She's as strong as a superhero.,She is very strong.,"She's as strong as a superhero, she can lift a car!"
378,2 class,I'm so strong I could move a mountain.,I am very strong.,I'm so strong I could move a mountain with my bare hands!
379,2 class,I'm as strong as a bull.,I am very strong.,I was able to carry the heavy load because I'm as strong as a bull.
380,2 class,I have the strength of a lion.,I am very strong.,I was able to lift the heavy rock because I have the strength of a lion.
381,2 class,I'm as strong as a rock.,I am very strong.,I was able to push the heavy boulder because I'm as strong as a rock.
382,2 class,My arms are like steel cables.,My arms are very strong.,I was able to lift the heavy weight easily because my arms are like steel cables.
383,2 class,I have the strength of Hercules.,I am very strong.,I was able to lift the car all by myself because I have the strength of Hercules.
384,2 class,I'm as strong as an army of ants.,I am very strong.,I was able to lift the heavy object easily because I'm as strong as an army of ants.
385,2 class,My muscles are like iron.,My muscles are very strong.,I was able to carry the heavy load easily because my muscles are like iron.
386,2 class,I have the strength of a giant.,I am very strong.,I was able to lift the large object all by myself because I have the strength of a giant.
387,2 class,I'm as strong as a locomotive.,I am very strong.,I was able to lift the heavy object easily because I'm as strong as a locomotive.
388,2 class,My grip is like a vice.,My grip is very strong.,I was able to hold onto the rope tightly because my grip is like a vice.
389,2 class,I have the strength of a bear.,I am very strong.,I was able to lift the heavy object easily because I have the strength of a bear.
390,2 class,I'm as strong as a hurricane.,I am very strong.,I was able to push the heavy object easily because I'm as strong as a hurricane.
391,2 class,My legs are like tree trunks.,My legs are very strong.,I was able to run for a long time because my legs are like tree trunks.
392,2 class,I have the strength of a rhinoceros.,I am very strong.,I was able to lift the heavy object all by myself because I have the strength of a rhinoceros.
393,2 class,"I'm so weak, I couldn't lift a feather.",I am very weak.,"I'm so weak, I couldn't even lift a feather off the ground."
394,2 class,I'm as weak as a kitten.,I am very weak.,"I couldn't even open the jar, I'm as weak as a kitten."
395,2 class,My arms are like wet noodles.,My arms are very weak.,"I couldn't even carry the light bag, my arms are like wet noodles."
396,2 class,"I'm so weak, I couldn't run a mile.",I am very weak.,"I'm so weak, I couldn't even run a mile without stopping."
397,2 class,I'm as weak as a baby.,I am very weak.,"I couldn't even lift the small box, I'm as weak as a baby."
398,2 class,My strength is like a wilting flower.,My strength is very weak.,"I couldn't even hold the door open, my strength is like a wilting flower."
399,2 class,"I'm so weak, I couldn't even carry a backpack.",I am very weak.,"I'm so weak, I couldn't even carry a small backpack without getting tired."
400,2 class,I'm as weak as a leaf.,I am very weak.,"I couldn't even lift the light book, I'm as weak as a leaf."
401,2 class,My muscles are like jello.,My muscles are very weak.,"I couldn't even lift the light weight, my muscles are like jello."
402,2 class,"I'm so weak, I couldn't even do one push-up.",I am very weak.,"I'm so weak, I couldn't even do one push-up without struggling."
403,2 class,I'm as weak as a spiderweb.,I am very weak.,"I couldn't even lift the small toy, I'm as weak as a spiderweb."
404,2 class,My strength is like a deflated balloon.,My strength is very weak.,"I couldn't even lift the light object, my strength is like a deflated balloon."
405,2 class,"I'm so weak, I couldn't even lift a pencil.",I am very weak.,"I'm so weak, I couldn't even lift a pencil without straining."
406,2 class,I'm as weak as a ghost.,I am very weak.,"I couldn't even lift the light object, I'm as weak as a ghost."
407,2 class,My muscles are like tissue paper.,My muscles are very weak.,"I couldn't even carry the small box, my muscles are like tissue paper."
408,2 class,"I'm so weak, I couldn't even climb a small hill.",I am very weak.,"I'm so weak, I couldn't even climb a small hill without getting tired."
409,2 class,I'm as weak as a shadow.,I am very weak.,"I couldn't even lift the small book, I'm as weak as a shadow."
410,2 class,My strength is like a dying battery.,My strength is very weak.,"I couldn't even lift the light object, my strength is like a dying battery."
411,2 class,"I'm so weak, I couldn't even open a jar.",I am very weak.,"I'm so weak, I couldn't even open a jar without help."
412,2 class,He is as tall as a giraffe.,He is very tall.,"He can reach the top shelf easily, he is as tall as a giraffe."
413,2 class,"She is so tall, she can touch the ceiling.",She is very tall.,"She can easily touch the ceiling with her hands, she is so tall."
414,2 class,He is as tall as a tree.,He is very tall.,"He towers over everyone, he is as tall as a tree."
415,2 class,"She is so tall, she can see over the fence.",She is very tall.,"She can easily see over the fence without standing on her toes, she is so tall."
416,2 class,He is as tall as a skyscraper.,He is very tall.,"He stands out in a crowd, he is as tall as a skyscraper."
417,2 class,"She is so tall, she can see the top of the mountain.",She is very tall.,"She can easily see the top of the mountain without climbing, she is so tall."
418,2 class,He is as tall as a basketball hoop.,He is very tall.,"He can easily dunk the ball, he is as tall as a basketball hoop."
419,2 class,"She is so tall, she can see the stars.",She is very tall.,"She can easily see the stars without a telescope, she is so tall."
420,2 class,He is as tall as a flagpole.,He is very tall.,"He can easily see the flag on top of the flagpole, he is as tall as a flagpole."
421,2 class,"She is so tall, she can touch the sky.",She is very tall.,"She can easily touch the sky with her hands, she is so tall."
422,2 class,He is as tall as a mountain.,He is very tall.,"He stands out in a crowd, he is as tall as a mountain."
423,2 class,"She is so tall, she can see the horizon.",She is very tall.,"She can easily see the horizon without climbing, she is so tall."
424,2 class,He is as tall as a lighthouse.,He is very tall.,"He can easily see the lighthouse from a distance, he is as tall as a lighthouse."
425,2 class,"She is so tall, she can see the entire city.",She is very tall.,"She can easily see the entire city from the top of the building, she is so tall."
426,2 class,He is as tall as a giant.,He is very tall.,"He dwarfs everyone around him, he is as tall as a giant."
427,2 class,"She is so tall, she can touch the clouds.",She is very tall.,"She can easily touch the clouds with her hands, she is so tall."
428,2 class,He is as tall as a mountain range.,He is very tall.,"He stands out in a crowd, he is as tall as a mountain range."
429,2 class,"She is so tall, she can see the entire countryside.",She is very tall.,"She can easily see the entire countryside from a distance, she is so tall."
430,2 class,He is as tall as a redwood tree.,He is very tall.,"He towers over everyone, he is as tall as a redwood tree."
431,2 class,He is as small as a mouse.,He is very small.,"He can easily hide under the table, he is as small as a mouse."
432,2 class,"She is so small, she can fit in a dollhouse.",She is very small.,"She can fit in the dollhouse without any problem, she is so small."
433,2 class,He is as small as a peanut.,He is very small.,"He is easily overlooked, he is as small as a peanut."
434,2 class,"She is so small, she can fit in a pocket.",She is very small.,"She can easily fit in your pocket, she is so small."
435,2 class,He is as small as a ant.,He is very small.,"He is barely visible, he is as small as an ant."
436,2 class,"She is so small, she can fit in a shoebox.",She is very small.,"She can easily fit in the shoebox, she is so small."
437,2 class,He is as small as a button.,He is very small.,"He is easy to miss, he is as small as a button."
438,2 class,"She is so small, she can ride on a toy car.",She is very small.,"She can easily ride on a toy car, she is so small."
439,2 class,He is as small as a bug.,He is very small.,"He is easily overlooked, he is as small as a bug."
440,2 class,"She is so small, she can hide behind a pencil.",She is very small.,"She can easily hide behind a pencil, she is so small."
441,2 class,He is as small as a grape.,He is very small.,"He is easily overlooked, he is as small as a grape."
442,2 class,"She is so small, she can fit in a teacup.",She is very small.,"She can easily fit in the teacup, she is so small."
443,2 class,He is as small as a button on a shirt.,He is very small.,"He is easily overlooked, he is as small as a button on a shirt."
444,2 class,"She is so small, she can fit in a basket.",She is very small.,"She can easily fit in the basket, she is so small."
445,2 class,He is as small as a grain of sand.,He is very small.,"He is easily overlooked, he is as small as a grain of sand."
446,2 class,"She is so small, she can ride on a toy train.",She is very small.,"She can easily ride on a toy train, she is so small."
447,2 class,He is as small as a pebble.,He is very small.,"He is easily overlooked, he is as small as a pebble."
448,2 class,"She is so small, she can fit in a jar.",She is very small.,"She can easily fit in the jar, she is so small."
449,2 class,He is as small as a crumb.,He is very small.,"He is easily overlooked, he is as small as a crumb."
450,2 class,"She is so small, she can fit in a backpack.",She is very small.,"She can easily fit in the backpack, she is so small."
451,2 class,She has a mind as bright as the sun.,She is very intelligent.,"She always gets top grades, her mind is as bright as the sun."
452,2 class,His future is as bright as a shooting star.,He has a very promising future.,"He is so talented, his future is as bright as a shooting star."
453,2 class,She has a smile as bright as a rainbow.,She has a very beautiful smile.,"Whenever she smiles, it feels like a rainbow, her smile is as bright as a rainbow."
454,2 class,His ideas are as bright as a light bulb.,He has very creative ideas.,"Whenever he shares his ideas, they are so unique and creative, they are as bright as a light bulb."
455,2 class,She has a personality as bright as the sun.,She is very friendly and outgoing.,"She is always surrounded by friends, her personality is as bright as the sun."
456,2 class,His eyes are as bright as stars.,He has very bright and expressive eyes.,"Whenever he talks, his eyes light up, they are as bright as stars."
457,2 class,She has a future as bright as a diamond.,She has a very promising future.,"She is so talented and hardworking, her future is as bright as a diamond."
458,2 class,His imagination is as bright as the sun.,He has a very vivid imagination.,"Whenever he tells a story, his imagination shines, it is as bright as the sun."
459,2 class,She has a voice as bright as a bell.,She has a very beautiful singing voice.,"Whenever she sings, her voice rings out, it is as bright as a bell."
460,2 class,His energy is as bright as a lightning bolt.,He has a lot of energy.,"Whenever he runs, he moves so fast, his energy is as bright as a lightning bolt."
461,2 class,She has a mind as bright as a diamond.,She is very intelligent.,"Whenever she takes a test, she gets top grades, her mind is as bright as a diamond."
462,2 class,His personality is as bright as a firework.,He is very outgoing and fun.,"Whenever he is around, he brings a lot of energy and fun, his personality is as bright as a firework."
463,2 class,She has a smile as bright as the sun.,She has a very beautiful smile.,"Whenever she smiles, it feels like the sun is shining, her smile is as bright as the sun."
464,2 class,His ideas are as bright as the sun.,He has very creative ideas.,"Whenever he shares his ideas, they are so unique and creative, they are as bright as the sun."
465,2 class,She has a future as bright as a sunny day.,She has a very promising future.,"She is so talented and hardworking, her future is as bright as a sunny day."
466,2 class,His imagination is as bright as a rainbow.,He has a very vivid imagination.,"Whenever he tells a story, his imagination shines, it is as bright as a rainbow."
467,2 class,She has a voice as bright as the stars.,She has a very beautiful singing voice.,"Whenever she sings, her voice is so powerful, it is as bright as the stars."
468,2 class,His energy is as bright as the sun.,He has a lot of energy.,"Whenever he plays, he moves so fast, his energy is as bright as the sun."
227,3 class,A million times,An exaggeration meaning a lot or countless times,I've told you a million times to clean up your room!
228,3 class,As big as a mountain,A comparison to something very large,The task ahead of me seems as big as a mountain.
229,3 class,As light as a feather,A comparison to something very light,"The box was so light, it felt as light as a feather."
230,3 class,As old as the hills,A comparison to something very old,"Grandma is as old as the hills, but she still loves to dance."
231,3 class,As slow as a snail,A comparison to something moving very slowly,My little brother is as slow as a snail when he gets ready for school.
232,3 class,As fast as lightning,A comparison to something moving very quickly,The cheetah ran as fast as lightning across the savannah.
233,3 class,As tall as a giraffe,A comparison to something very tall,The basketball player was as tall as a giraffe.
234,3 class,Bursting with joy,Being extremely happy and excited,"When my family surprised me with a trip to Disneyland, I was bursting with joy!"
235,3 class,Chatterbox,Someone who talks a lot,My little sister is such a chatterbox!
236,3 class,Crying a river,Crying a lot,"When my dog died, I cried a river of tears."
237,3 class,Dancing in the streets,Celebrating or being very happy,"When our team won the championship, we were dancing in the streets."
238,3 class,Eager beaver,Someone who is always ready and eager to do something,"My friend is such an eager beaver, she always finishes her homework first."
239,3 class,Eat like a horse,To eat a lot,My dad can eat like a horse when he's really hungry.
240,3 class,Flying high,Feeling very happy or excited,"When I got an A+ on my spelling test, I was flying high."
241,3 class,Full of beans,Having lots of energy and enthusiasm,My little brother is always full of beans in the morning.
242,3 class,Get a kick out of,To really enjoy something,I always get a kick out of playing with my friends at recess.
243,3 class,Going bananas,Becoming very excited or crazy,"When we heard we were going to Disneyland, we all went bananas."
244,3 class,Hard as a rock,Something that is very hard or difficult,The math problem was as hard as a rock.
245,3 class,Head over heels,Being very excited or in love with something or someone,"When I saw the new puppy, I fell head over heels in love."
246,3 class,Heart of gold,Someone who is kind and caring,"My grandmother has a heart of gold, she always takes care of us."
247,3 class,Hit the roof,Getting very angry,"When my brother broke my toy, I hit the roof."
248,3 class,Jumping for joy,Being very happy and excited,"When we won the game, we were jumping for joy."
249,3 class,Knock your socks off,Something that is very impressive,"The fireworks show was so amazing, it knocked our socks off."
250,3 class,Like a broken record,Repeating something over and over again,"My little sister keeps singing the same song, like a broken record."
251,3 class,Like a fish out of water,Feeling uncomfortable or out of place,"When I first moved to a new school, I felt like a fish out of water."
252,3 class,Best day ever,The most enjoyable or happiest day ever,Going to the amusement park was the best day ever!
253,3 class,Best thing since sliced bread,Something that is considered great or helpful,My new computer is the best thing since sliced bread.
254,3 class,Best thing ever,The most amazing thing ever,Swimming with dolphins was the best thing ever!
255,3 class,Best friend in the world,A close and trusted friend,My best friend in the world always makes me laugh.
256,3 class,Best player in the world,The most skilled player in the world,Messi is the best player in the world.
257,3 class,Best gift ever,The most special or valuable gift ever received,The puppy my parents got me for my birthday was the best gift ever.
258,3 class,Best movie of all time,The greatest movie ever made,The Godfather is considered by many to be the best movie of all time.
259,3 class,Best book ever,The most engaging or enjoyable book ever read,Charlotte's Web is the best book ever.
260,3 class,Best teacher ever,The most inspiring or helpful teacher ever had,Mrs. Johnson is the best teacher ever.
261,3 class,Best dessert ever,The most delicious dessert ever tasted,This cheesecake is the best dessert ever.
262,3 class,Best vacation ever,The most enjoyable or memorable vacation ever taken,Going to Hawaii was the best vacation ever.
263,3 class,Best decision ever,The smartest or most successful decision ever made,Quitting my job to start my own business was the best decision ever.
264,3 class,Best mom/dad ever,The most loving and caring mom or dad,"My mom is the best mom ever, she always knows what to do."
265,3 class,Best artist in the world,The most talented artist in the world,Beyonce is the best artist in the world.
266,3 class,Best game ever,The most entertaining or addictive game ever played,Minecraft is the best game ever.
