id,simile,meaning,example,relevance
650,As big as something like an elephant,Very large in size,The huge pumpkin was as big as something like an elephant.,Prep Class
651,As happy as something like a rainbow,Very happy,The children were as happy as something like a rainbow after receiving their presents.,Prep Class
652,As fast as something like a cheetah,Very quick,The race car was as fast as something like a cheetah on the track.,Prep Class
653,As shiny as something like a diamond,Very bright or glossy,Her new necklace was as shiny as something like a diamond.,Prep Class
654,As soft as something like a pillow,Very comfortable,The bed was as soft as something like a pillow.,Prep Class
655,As cold as something like ice,Very low temperature,The ice cream was as cold as something like ice.,Prep Class
656,As sweet as something like candy,Very sugary,The cake was as sweet as something like candy.,Prep Class
657,As bright as something like the sun,Very luminous,The flashlight was as bright as something like the sun.,Prep Class
658,As wet as something like a sponge,Very moist,The towel was as wet as something like a sponge.,Prep Class
659,As heavy as something like a rock,Very weighty,The suitcase was as heavy as something like a rock.,Prep Class
660,As thin as something like a piece of paper,Very narrow,The sheet of paper was as thin as something like a piece of paper.,Prep Class
661,As pretty as something like a flower,Very beautiful,The little girl was as pretty as something like a flower in her dress.,Prep Class
662,As big as something like a bus,Very spacious,The hall was as big as something like a bus.,Prep Class
663,As strong as something like an ox,Very powerful,The weightlifter was as strong as something like an ox.,Prep Class
664,As light as something like a feather,Very light in weight,The balloon was as light as something like a feather.,Prep Class
665,As smooth as something like silk,Very sleek,The surface was as smooth as something like silk.,Prep Class
666,As sour as something like a lemon,Very acidic,The drink was as sour as something like a lemon.,Prep Class
667,As tall as something like a tree,Very high,The building was as tall as something like a tree.,Prep Class
668,As loud as something like thunder,Very noisy,The fireworks were as loud as something like thunder.,Prep Class
669,As cute as something like a button,Very adorable,The baby was as cute as something like a button in his outfit.,Prep Class
670,As hot as something like a stove,Very warm,The fireplace was as hot as something like a stove.,Prep Class
671,As long as something like a snake,Very lengthy,The train was as long as something like a snake.,Prep Class
672,As spicy as something like chili,Very zesty,The dish was as spicy as something like chili.,Prep Class
673,As bumpy as something like a road,Very rough,The ride was as bumpy as something like a road.,Prep Class
674,As green as something like grass,Very verdant,The fields were as green as something like grass.,Prep Class
675,As cute as a button,Very cute,The little puppy was as cute as a button.,Prep Class
676,As sly as a fox,Very cunning,The sly fox snuck into the henhouse and stole all the eggs.,Prep Class
677,As brave as a lion,Very courageous,The firefighter was as brave as a lion when he rescued the cat.,Prep Class
678,As busy as a bee,Very productive,The workers in the factory were as busy as bees all day.,Prep Class
679,As light as a feather,Very light,The balloon was as light as a feather and floated away easily.,Prep Class
680,As tall as a tree,Very tall,The basketball player was as tall as a tree and could dunk easily.,Prep Class
681,As fast as a cheetah,Very fast,The race car was as fast as a cheetah and won the race easily.,Prep Class
682,As quiet as a mouse,Very quiet,The baby was sleeping soundly and as quiet as a mouse.,Prep Class
683,As strong as an ox,Very strong,The weightlifter was as strong as an ox and lifted the heavy bar with ease.,Prep Class
684,As black as coal,Very dark,The sky at night was as black as coal with no stars in sight.,Prep Class
685,As white as snow,Very white,The winter landscape was as white as snow and glistened in the sun.,Prep Class
686,As sweet as candy,Very sweet,The little girl's smile was as sweet as candy.,Prep Class
687,As sour as a lemon,Very sour,The lemonade was as sour as a lemon and made me pucker up.,Prep Class
688,As red as a tomato,Very red,The tomato in the garden was as red as a tomato can be.,Prep Class
689,As blue as the sky,Very blue,The sky on a clear day was as blue as the ocean.,Prep Class
690,As green as grass,Very green,The meadow was as green as grass and the cows loved to graze there.,Prep Class
691,As yellow as a banana,Very yellow,The banana in the fruit basket was as yellow as a banana can be.,Prep Class
692,As round as a ball,Very round,The ball the children were playing with was as round as a ball can be.,Prep Class
693,As flat as a pancake,Very flat,The pancake was as flat as a pancake can be and tasted delicious.,Prep Class
694,As hard as a rock,Very hard,The diamond was as hard as a rock and shone brilliantly.,Prep Class
695,As soft as a pillow,Very soft,The kitten's fur was as soft as a pillow and felt cozy to the touch.,Prep Class
696,As hot as fire,Very hot,The flames from the fireplace were as hot as fire and warmed the room.,Prep Class
697,As cold as ice,Very cold,The ice cube in the drink was as cold as ice and made me shiver.,Prep Class
698,As wet as a fish,Very wet,The fish in the aquarium were as wet as fish can be.,Prep Class
699,As dry as a bone,Very dry,The desert was as dry as a bone and no plants could grow there.,Prep Class
700,Jumping like a frog,Jumping with excitement,The kids were jumping like frogs after winning the game.,Prep Class
472,As busy as a bee,Very busy and hardworking,The ants were as busy as bees as they gathered food for the winter.,1 class
473,As happy as a clam,Very happy and content,The child was as happy as a clam when they received a new toy.,1 class
474,As light as a feather,Very light and weightless,The balloon was as light as a feather as it floated in the air.,1 class
475,As sly as a fox,Very sly and cunning,The cat was as sly as a fox when it snuck up on the mouse.,1 class
476,As quiet as a mouse,Very quiet and silent,The child was as quiet as a mouse when they hid during a game of hide-and-seek.,1 class
477,As slow as a snail,Very slow and sluggish,The sloth was as slow as a snail as it moved through the trees.,1 class
478,As strong as an ox,Very strong and powerful,The weightlifter was as strong as an ox as they lifted the heavy barbell.,1 class
479,As swift as a deer,Very swift and fast,The cheetah was as swift as a deer as it chased its prey.,1 class
480,As playful as a kitten,Very playful and fun-loving,The puppy was as playful as a kitten as it frolicked in the grass.,1 class
481,As fierce as a lion,Very fierce and intimidating,The dragon was as fierce as a lion as it breathed fire.,1 class
482,As thirsty as a camel,Very thirsty and in need of water,The hiker was as thirsty as a camel after a long trek in the desert.,1 class
483,As hungry as a bear,Very hungry and in need of food,The child was as hungry as a bear after playing all day.,1 class
484,As bright as a star,Very bright and shining,The light bulb was as bright as a star as it lit up the room.,1 class
485,As cold as ice,Very cold and frigid,The ice cream was as cold as ice as it chilled in the freezer.,1 class
486,As hot as fire,Very hot and fiery,The stove was as hot as fire as it cooked the food.,1 class
487,As brave as a superhero,Very brave and heroic,The firefighter was as brave as a superhero as they rescued people from a burning building.,1 class
488,As silly as a clown,Very silly and amusing,The child was as silly as a clown as they made funny faces.,1 class
489,As shiny as a diamond,Very shiny and sparkling,The jewelry was as shiny as a diamond as it caught the light.,1 class
490,As pretty as a flower,Very pretty and beautiful,The dress was as pretty as a flower as it flowed in the wind.,1 class
491,As smart as a owl,Very smart and wise,The teacher was as smart as an owl as they taught the students.,1 class
492,As fast as a rocket,Very fast and speedy,The car was as fast as a rocket as it raced down the highway.,1 class
493,As big as a mountain,Very big and massive,The elephant was as big as a mountain as it roamed the savannah.,1 class
494,As tiny as a bug,Very tiny and small,The ladybug was as tiny as a bug as it crawled on the leaf.,1 class
495,As loud as thunder,Very loud and booming,The thunder was as loud as thunder as it shook the windows.,1 class
496,As soft as cotton,Very soft and gentle,The pillow was as soft as cotton as it cradled the head.,1 class
497,Like a fish out of water,Feeling uncomfortable or out of place,The new student felt like a fish out of water on their first day of school.,1 class
498,Like a bull in a china shop,Acting clumsily or without care,"The toddler ran around the store like a bull in a china shop, knocking over displays.",1 class
499,Like a moth to a flame,Attracted to something that is potentially harmful,"The cat was like a moth to a flame, always trying to play with the dog despite being much smaller.",1 class
500,Like a kid in a candy store,Very excited and happy,The child was like a kid in a candy store when they saw all the toys at the toy store.,1 class
501,Like a bat out of hell,Very fast or quickly,The cheetah ran like a bat out of hell as it chased its prey.,1 class
502,Like a light switch,Quick and sudden,The light turned off like a light switch when the power went out.,1 class
503,Like a chicken with its head cut off,Running around in a panicked or disorganized manner,The employees were running around like chickens with their heads cut off trying to finish the project on time.,1 class
504,Like a jack-in-the-box,Unexpected or surprising,The clown popped out of the box like a jack-in-the-box and scared the children.,1 class
505,Like a broken record,Repeating the same thing over and over again,The child kept asking for candy like a broken record.,1 class
506,Like a bullseye,Exactly on target,The dart landed like a bullseye in the center of the dartboard.,1 class
507,Like a cat with a mouse,Playing with someone or something before ultimately defeating them,The cat played with the mouse like a cat with a mouse before finally catching it.,1 class
508,Like a dog with a bone,Refusing to give up or let go,"The child held onto the toy like a dog with a bone, not wanting to share with their sibling.",1 class
509,Like a needle in a haystack,Very difficult to find,Finding the missing key in the messy room was like looking for a needle in a haystack.,1 class
510,Like a rainbow,Very colorful and bright,The flowers in the garden were like a rainbow with their various colors.,1 class
511,Like a sponge,Easily absorbing information or knowledge,"The student was like a sponge, soaking up all the information the teacher gave them.",1 class
512,Like a turtle,Very slow or cautious,"The snail moved like a turtle, slowly making its way across the garden.",1 class
513,Like a well-oiled machine,Working together smoothly and efficiently,The team worked like a well-oiled machine to finish the project ahead of schedule.,1 class
514,Like a wolf in sheep's clothing,Deceptive or pretending to be something they're not,The thief disguised themselves like a wolf in sheep's clothing to steal from the unsuspecting victim.,1 class
515,Like a zebra,With distinctive or unique stripes,The shirt was like a zebra with its black and white stripes.,1 class
516,Like two peas in a pod,Very similar or alike,The twins were like two peas in a pod with their matching outfits and similar personalities.,1 class
517,Like a bee's knees,Very good or excellent,"The ice cream was like a bee's knees, everyone loved it.",1 class
518,Like a duck to water,Quickly adapting to a new situation or environment,"The new student took to the new school like a duck to water, making friends and doing well in classes.",1 class
519,Gentle as a lamb,Soft and mild in nature,The grandmother was gentle as a lamb when she hugged her grandchild.,1 class
520,Giddy as a schoolgirl,Feeling excited or overly happy,"The young girl was giddy as a schoolgirl on her birthday, receiving many presents from her family.",1 class
521,Glad as a lark,Feeling very happy and content,The boy was glad as a lark when he got an A on his test.,1 class
522,Graceful as a swan,Moving in a smooth and elegant manner,The ballerina danced gracefully as a swan across the stage.,1 class
523,Green as grass,Very inexperienced or naive,The new student was green as grass and didn't know their way around the school yet.,1 class
524,Grim as death,Very serious or ominous,The teacher's face was grim as death when she handed out the difficult homework assignment.,1 class
525,Grinning like a Cheshire cat,Smiling very widely and mischievously,The child was grinning like a Cheshire cat after playing a prank on their sibling.,1 class
526,Groovy like a record,Very cool or stylish,"The new jacket was groovy like a record, all the kids at school wanted one.",1 class
527,Grouchy as a bear,Feeling irritable or cranky,The old man was grouchy as a bear when he didn't get enough sleep the night before.,1 class
528,Growing like a weed,Growing very quickly or rapidly,"The baby was growing like a weed, getting bigger every day.",1 class
529,Guilty as a thief,Feeling guilty or ashamed,The child felt guilty as a thief after breaking their neighbor's window with a ball.,1 class
530,Gullible as a baby,Very easily fooled or deceived,The young boy was gullible as a baby and believed everything his friends told him.,1 class
531,Gorgeous like a rose,Very beautiful or attractive,The princess was gorgeous like a rose in her elegant gown.,1 class
532,Greasy as a pig,Oily or dirty in appearance,The mechanic's hands were greasy as a pig after working on a car all day.,1 class
533,Gracious as a queen,Polite and kind in manner,"The hostess was gracious as a queen, welcoming her guests with open arms.",1 class
534,Going like a rocket,Moving very quickly or at a high speed,"The race car was going like a rocket, leaving its competitors behind.",1 class
535,Good as gold,Very well-behaved or obedient,"The little girl was good as gold, always following her parents' rules.",1 class
536,Glittering like gold,Shining brightly or reflecting light,The jewelry was glittering like gold under the bright lights.,1 class
537,Grateful as a friend,Feeling thankful or appreciative,The girl was grateful as a friend when her friend helped her with her homework.,1 class
538,Generous as a millionaire,Giving freely and abundantly,"The wealthy businessman was generous as a millionaire, donating large sums of money to charity.",1 class
539,Grumpy as a cat,Feeling irritable or easily annoyed,The cat was grumpy as a cat when it didn't get its nap in the afternoon.,1 class
540,Glossy as a magazine,Smooth and shiny in appearance,The car was glossy as a magazine after it was washed and waxed.,1 class
541,Going like a whirlwind,Moving very quickly or energetically,"The children were going like a whirlwind at the playground, playing and running around.",1 class
542,Keen as a razor,Very sharp or observant,"She had a keen memory, always remembering important details.",1 class
543,Kind as a kitten,Very gentle and friendly,"The puppy was as kind as a kitten, always eager to play.",1 class
544,Knotted up like a rope,Very tense or anxious,"Before the big game, the players were all knotted up like a rope.",1 class
545,Kooky as a clown,Very silly or eccentric,The teacher's kooky antics always made the students laugh.,1 class
546,Kicked the bucket,Died,The old dog finally kicked the bucket after a long life.,1 class
547,Kicked like a mule,Kicked very hard or forcefully,"The soccer ball was kicked like a mule, soaring through the air.",1 class
548,Kind as a mother hen,Very nurturing and protective,"The mother hen was as kind as a mother, always caring for her chicks.",1 class
549,Kissed like a prince,Kissed very romantically or passionately,"The couple kissed like a prince, lost in their own world.",1 class
550,Knifelike pain,Very sharp or intense pain,"The headache was like a knifelike pain, throbbing in his head.",1 class
551,Kooky as a cuckoo clock,Very odd or eccentric,"The old man was kooky as a cuckoo clock, always talking to himself.",1 class
552,Keen as mustard,Very enthusiastic or eager,"The new student was keen as mustard, always eager to learn.",1 class
553,Kind as a fairy godmother,"Very kind and helpful, like a character from a fairy tale","The kind lady was like a fairy godmother, always helping others.",1 class
554,Knitted together,"United or joined together, like pieces of fabric","The team was knitted together, working towards a common goal.",1 class
555,Knows like a dictionary,Very knowledgeable or well-informed,"The professor knows like a dictionary, with a wealth of knowledge.",1 class
556,Kicked like a rocket,Kicked with a lot of speed or force,"The ball was kicked like a rocket, soaring towards the goal.",1 class
557,Kind as a lamb,Very gentle and mild-mannered,"The baby was as kind as a lamb, always quiet and peaceful.",1 class
558,Knocked for a loop,Very surprised or stunned,"The unexpected news knocked her for a loop, leaving her speechless.",1 class
559,Known like the back of one's hand,"Very familiar with something, like the back of one's hand","The tour guide knew the city like the back of her hand, showing the tourists around with ease.",1 class
560,Kicked up a fuss,Made a big commotion or disturbance,The child kicked up a fuss when it was time for bed.,1 class
561,Kind as a daisy,Very sweet and kind,"The old woman was kind as a daisy, always offering a smile.",1 class
562,As fierce as a tiger,Very strong and aggressive,"The athlete was as fierce as a tiger, dominating the competition.",1 class
563,As brave as a tiger,Very courageous and fearless,"The soldier was as brave as a tiger, risking his life for his country.",1 class
564,As quick as a tiger,Very fast and agile,"The dancer was as quick as a tiger, moving with grace and speed.",1 class
565,As sly as a tiger,Very cunning and deceitful,"The politician was as sly as a tiger, always looking for an advantage.",1 class
566,As powerful as a tiger,Very strong and mighty,"The hurricane was as powerful as a tiger, causing widespread damage.",1 class
567,As ferocious as a tiger,Very violent and aggressive,"The storm was as ferocious as a tiger, with winds tearing through the streets.",1 class
568,As agile as a tiger,Very graceful and nimble,"The gymnast was as agile as a tiger, performing amazing feats of acrobatics.",1 class
569,As proud as a tiger,Very confident and self-assured,"The artist was as proud as a tiger, showing off his latest masterpiece.",1 class
570,As wild as a tiger,Very untamed and unpredictable,"The child was as wild as a tiger, running through the playground without a care.",1 class
571,As stealthy as a tiger,Very sneaky and secretive,"The spy was as stealthy as a tiger, slipping in and out of enemy territory undetected.",1 class
572,As majestic as a tiger,Very grand and regal,"The king was as majestic as a tiger, commanding respect and admiration from his people.",1 class
573,As menacing as a tiger,Very threatening and dangerous,"The criminal was as menacing as a tiger, instilling fear in all who crossed his path.",1 class
574,As relentless as a tiger,Very persistent and determined,"The marathon runner was as relentless as a tiger, pushing himself to the limit.",1 class
575,As hungry as a tiger,Very hungry and ready to eat,"The boy was as hungry as a tiger, devouring his dinner in minutes.",1 class
576,As territorial as a tiger,Very protective of one's territory,"The dog was as territorial as a tiger, barking at anyone who came near his yard.",1 class
577,As curious as a tiger,Very interested and inquisitive,"The scientist was as curious as a tiger, always seeking new knowledge.",1 class
578,As focused as a tiger,Very concentrated and attentive,"The student was as focused as a tiger, studying hard for his exams.",1 class
579,As patient as a tiger,"Very calm and composed, able to wait for what they want","The fisherman was as patient as a tiger, waiting for hours for a catch.",1 class
580,As playful as a tiger,Very lively and fun-loving,"The children were as playful as tigers, running around and laughing.",1 class
581,As dangerous as a tiger,Very risky or unsafe,"The mountain trail was as dangerous as a tiger, with steep drops and narrow paths",1 class
238,As blind as a bat,Unable to see well,"Without my glasses, I'm as blind as a bat.",3 class
239,As busy as a bee,Very active and hardworking,"The worker bee was as busy as a bee, buzzing from flower to flower.",3 class
240,As cool as a cucumber,Calm and composed,"Even in the face of danger, he was as cool as a cucumber.",3 class
241,As cute as a button,Adorable,The little girl was as cute as a button in her new dress.,3 class
242,As easy as pie,Very easy,The math problem was as easy as pie for the smart student.,3 class
243,As fast as lightning,Extremely quick,"The cheetah ran as fast as lightning, leaving all the other animals behind.",3 class
244,As fit as a fiddle,In very good health,"The athlete was as fit as a fiddle, able to run for miles without getting tired.",3 class
245,As flat as a pancake,Completely flat,The pancake was cooked until it was as flat as a pancake.,3 class
246,As free as a bird,Liberated and carefree,"After finishing the project, the students felt as free as a bird.",3 class
247,As gentle as a lamb,Kind and gentle,The mother cat was as gentle as a lamb with her newborn kittens.,3 class
248,As good as gold,Very well-behaved,The child was as good as gold during the entire trip.,3 class
249,As happy as a clam,Very happy and content,"After receiving her present, the little girl was as happy as a clam.",3 class
250,As hard as nails,Very tough,The boxer was as hard as nails and could take a lot of punches.,3 class
251,As hot as fire,Very hot,"The chili peppers were as hot as fire, causing his mouth to burn.",3 class
252,As hungry as a bear,Very hungry,"After skipping lunch, she was as hungry as a bear.",3 class
253,As light as a feather,Very light,"The bird was as light as a feather, easily lifting off the ground.",3 class
254,As quick as a flash,Very fast,"The lightning struck as quick as a flash, illuminating the entire sky.",3 class
255,As quiet as a mouse,Very quiet,"The baby was sleeping as quiet as a mouse, not making a sound.",3 class
256,As sick as a dog,Very sick,"After eating too much candy, he felt as sick as a dog.",3 class
257,As slow as a snail,Very slow,"The old turtle was as slow as a snail, taking hours to cross the road.",3 class
258,As sly as a fox,Clever and cunning,"The cat was as sly as a fox, always finding a way to catch the mouse.",3 class
259,As steady as a rock,Very stable and reliable,The experienced sailor was as steady as a rock in rough seas.,3 class
260,As strong as an ox,Very strong,"The weightlifter was as strong as an ox, easily lifting heavy weights.",3 class
261,As sweet as honey,Very sweet,"The dessert was as sweet as honey, making everyone's mouth water.",3 class
262,As tall as a giraffe,Very tall,"The basketball player was as tall as a giraffe, towering over his opponents.",3 class
263,As tough as leather,Very durable,The leather jacket was as tough as leather and could withstand rough use.,3 class
264,As white as snow,Completely white,"The snow was as white as snow, sparkling in the sunlight.",3 class
265,Happy as a clam,Very happy and content,"After getting a new toy, he was as happy as a clam.",3 class
266,Hard as nails,Very tough and strong,The old tree was hard as nails.,3 class
267,Hard as rock,Very hard and unbreakable,The stone was hard as rock.,3 class
268,Hard as steel,Very strong and difficult to bend or break,The door was hard as steel.,3 class
269,Heavy as lead,Very heavy and difficult to lift,The box was heavy as lead.,3 class
270,High as a kite,Very excited or happy,The boy was high as a kite after winning the race.,3 class
271,Hot as fire,Very hot and burning,The soup was hot as fire.,3 class
272,Hungry as a bear,Very hungry,"After the game, he was hungry as a bear.",3 class
273,Hungry as a horse,Very hungry,"After the long walk, she was hungry as a horse.",3 class
274,Hungry as a wolf,Very hungry,The boy was hungry as a wolf after playing for hours.,3 class
275,Happy as a lark,Very happy and content,She was happy as a lark after getting a surprise gift.,3 class
276,Happy as a clam at high water,Very happy and content in any situation,"Even though the weather was bad, he was happy as a clam at high water.",3 class
277,Happy as a flea in a doghouse,Very happy and content in an unusual situation,The boy was happy as a flea in a doghouse when he got to play with his favorite toy.,3 class
278,Happy as a puppy with two tails,Very happy and excited,"After winning the game, the team was happy as a puppy with two tails.",3 class
279,Happy as a kid in a candy store,Very happy and excited,The children were happy as kids in a candy store when they got to choose their own candy.,3 class
280,Happy as a pig in mud,Very happy and content in a dirty or messy situation,The baby was happy as a pig in mud after playing in the garden.,3 class
281,Heavy as a brick,Very heavy and difficult to lift,The bag was heavy as a brick.,3 class
282,Heavy as a boulder,Very heavy and difficult to move,The rock was heavy as a boulder.,3 class
283,Heavy as an elephant,Very heavy and difficult to lift,The couch was heavy as an elephant.,3 class
284,High as the clouds,Very high up,The airplane was flying as high as the clouds.,3 class
285,High as the hills,Very high up,The kite was flying as high as the hills.,3 class
286,High as a mountain,Very high up,The bird was flying as high as a mountain.,3 class
287,Hot as the sun,Very hot,The sand was hot as the sun.,3 class
288,Hot as a stove,Very hot,The tea was hot as a stove.,3 class
289,Hot as a sauna,Very hot and steamy,The room was hot as a sauna.,3 class
290,Hungry as a lion,Very hungry,"After the game, the team was hungry as a lion.",3 class
291,Hungry as a hippo,Very hungry,"After the walk, the boy was hungry as a hippo.",3 class
292,Hungry as a pack of wolves,Very hungry,The runners were hungry as a pack of wolves after the race.,3 class
293,As funny as a clown,Very amusing or comical,The clown made everyone laugh with his silly antics.,3 class
294,As funny as a barrel of monkeys,Very entertaining or amusing,The party was as funny as a barrel of monkeys with all of the jokes and laughter.,3 class
295,As funny as a jack-in-the-box,Surprising and unexpected,The punchline to the joke was as funny as a jack-in-the-box popping out.,3 class
296,As funny as a three-ring circus,Chaotic and unpredictable,The classroom was as funny as a three-ring circus during the science experiment.,3 class
297,As funny as a fart in a space suit,Silly or ridiculous,"The prank was as funny as a fart in a space suit, but it made everyone laugh.",3 class
298,As funny as a movie with Jim Carrey,Full of humor and jokes,"The comedy was as funny as a movie with Jim Carrey, and the audience couldn't stop laughing.",3 class
299,As funny as a cartoon,Amusing or humorous,"The cartoon was as funny as a slapstick comedy, and the kids loved it.",3 class
300,As funny as a tickled monkey,Hilarious or uproarious,"The joke was as funny as a tickled monkey, and everyone burst into laughter.",3 class
301,As funny as a stand-up comedian,Witty and amusing,"The comedian was as funny as a stand-up comedian, and the crowd couldn't get enough of him.",3 class
302,As funny as a clown on stilts,Comical and absurd,"The costume was as funny as a clown on stilts, and it made everyone smile.",3 class
303,As funny as a barrel of laughs,Entertaining and amusing,"The party was as funny as a barrel of laughs, and everyone had a great time.",3 class
