id,word,word_definition,antonyms,synonyms,example,relevance
709,Mail,Letters and packages delivered by post,None,"Post, letters",My grandmother sent me a letter in the mail.,1 class
710,Meat,Animal flesh used as food,"Vegetables, fruits","Beef, pork",I like to eat chicken meat.,1 class
711,Money,A medium of exchange,None,"Currency, cash",You need money to buy things.,1 class
712,Marker,A writing tool,"Eraser, chalk","Pen, pencil",I used a marker to draw a picture.,1 class
713,Mountain,A large natural elevation of the earth's surface,"Valley, plain","Hill, peak",We hiked up the mountain to see the view.,1 class
714,Mouth,The opening in the face used for eating and speaking,"Ears, nose","Lips, jaws",I used my mouth to eat the cookie.,1 class
715,Mitten,A type of glove that covers the hand and thumb separately,None,"Glove, hand warmer",I wore my mittens to play in the snow.,1 class
716,Mother,A female parent,"Father, dad","Mom, mommy",My mother made me breakfast.,1 class
717,Movie,A story or event recorded on film or video,None,"Film, cinema",I watched a movie with my family.,1 class
718,Mousepad,A surface for a computer mouse,None,None,I need a mousepad to use my computer mouse.,1 class
719,Morning,The early part of the day,"Evening, night","Dawn, daybreak",I woke up early in the morning.,1 class
720,Moonlight,Light from the moon,Darkness,"Moonbeam, lunar light",The moonlight shone through my window.,1 class
721,Match,A tool used to light a fire,None,"Lighter, flint",We used a match to light the candle.,1 class
722,Marker,A scoring play in some sports,None,"Point, goal",My team scored a marker in the hockey game.,1 class
723,School,A place where children go to learn,"Home, Vacation, Holiday","Academy, Institution, College",I'm excited to go to school today!,1 class
724,Sun,The star that is the center of the solar system,"Moon, Night, Darkness","Star, Sol, Daystar",The sun is shining brightly in the sky.,1 class
725,Smile,An expression of happiness or amusement,"Frown, Scowl, Glower","Grin, Beam, Cheer",My mom always tells me to smile for pictures.,1 class
726,Socks,A garment worn on the feet,"Barefoot, Sandals, Slippers","Stockings, Hose, Footwear",I need to put on my socks before I go outside.,1 class
727,Spoon,A utensil used for eating or serving food,"Fork, Knife, Chopsticks","Scoop, Ladle, Utensil","Can I have a spoon for my soup, please?",1 class
728,Snack,A small amount of food eaten between meals,"Meal, Feast, Banquet","Treat, Nibble, Munch",I brought a snack to eat during recess.,1 class
729,Swing,"A seat suspended by ropes or chains, used as a plaything","Still, Stable, Grounded","Sway, Rock, Dangle",I love to swing on the playground.,1 class
730,Shoes,Footwear that covers the feet and sometimes the ankles,"Barefoot, Slippers, Flip-flops","Sneakers, Sandals, Boots",I need to tie my shoes before I run.,1 class
731,Sheep,"A domesticated mammal used for wool, meat, and milk","Wolf, Fox, Predator","Lamb, Ewe, Ram",Look at all the sheep in the farm field.,1 class
732,Snail,"A mollusk with a spiral shell, often slow-moving","Cheetah, Rabbit, Speedy","Slug, Escargot, Conch",The snail crawled slowly across the sidewalk.,1 class
733,Spider,"An arachnid with eight legs, often seen spinning webs","Mammal, Bird, Fish","Arachnid, Tarantula, Insect","I'm scared of spiders, they're creepy.",1 class
734,Star,A luminous celestial body visible in the sky,"Earth, Moon, Comet","Sun, Planet, Galaxy",I saw a shooting star in the night sky.,1 class
735,Story,"A narrative, either true or fictional","Fact, Reality, News","Tale, Fable, Legend",My teacher read us a story during storytime.,1 class
736,Squirrel,"A small rodent with a bushy tail, often seen gathering nuts","Cat, Dog, Predator","Chipmunk, Rat, Mouse",Look at the squirrel climbing up the tree.,1 class
737,Swim,To move through water using one's arms and legs,"Sink, Drown, Sunk","Float, Dive, Splash",I want to learn how to swim like a fish.,1 class
738,Sneeze,To expel air forcibly through the nose and mouth due to irritation,"Silence, Quiet, Mute","Achoo, Snort, Blow",I need to cover my mouth when I sneeze.,1 class
739,Slide,"A piece of equipment used for children's play, often seen on a playground","Stairs, Ladder, Climber","Chute, Slip, Glider",Let's go down the slide together!,1 class
740,Umbrella,A device used to protect from rain or sunlight,"Sunburn, Wetness, Exposure, Vulnerability","Parasol, Brolly, Shade, Canopy",My mom gave me an umbrella so I wouldn't get wet in the rain.,1 class
741,Unicorn,A mythical creature resembling a horse with a single horn on its head,"Realistic animal, Rhinoceros, Donkey, Mule","Magical horse, Alicorn, Pegasus, Fairy horse",I love unicorns because they are magical creatures with one horn.,1 class
742,Uncle,The brother of one's parent,"Stranger, Enemy, Unrelated, Foe","Aunt, Niece, Nephew, Relative",My uncle is coming to visit us this weekend.,1 class
743,Up,Moving or situated higher,"Down, Low, Below, Underneath","Elevated, Upward, Skyward, Vertical",I climbed up the tree to get a better view.,1 class
744,Use,The act of employing something for a purpose,"Neglect, Disuse, Abandonment, Inactivity","Utilization, Application, Implementation, Exercise",I can use this pencil to write my name.,1 class
745,Understand,To comprehend or grasp the meaning of something,"Misunderstand, Misinterpret, Confuse, Ignore","Comprehend, Grasp, Perceive, Fathom",I understand how to do this math problem now.,1 class
746,University,A higher education institution where one can earn a degree,"Dropout, Illiterate, Uneducated, Ignorant","College, Academy, School, Institute",My dad went to university to become a doctor.,1 class
747,Uniform,A particular set of clothes worn by members of an organization or profession,"Casual wear, Non-uniform, Out of uniform, Unsuited","Outfit, Attire, Costume, Dress",The soldiers wore green uniforms to camouflage in the forest.,1 class
748,Unit,A single thing or person regarded as a whole,"Division, Separation, Disunity, Fragmentation","Entity, Element, Component, Item",My teacher gave us a unit of candies to share with the class.,1 class
749,Uncle,The brother of one's parent,"Stranger, Enemy, Unrelated, Foe","Aunt, Niece, Nephew, Relative",My uncle is coming to visit us this weekend.,1 class
750,Urge,A strong desire or impulse to do something,"Repulsion, Dislike, Aversion, Inhibition","Craving, Longing, Impetus, Instinct",I feel the urge to jump up and down when I'm excited.,1 class
751,Upset,"To become unhappy, disappointed, or worried","Calm, Content, Cheerful, Untroubled","Distressed, Troubled, Agitated, Perturbed",I was upset when I lost my favorite toy.,1 class
752,Ugly,Unpleasant or unattractive in appearance,"Beautiful, Attractive, Gorgeous, Handsome","Unsightly, Homely, Unappealing, Repulsive",That painting is ugly because it has weird colors.,1 class
753,Unique,Being the only one of its kind,"Ordinary, Common, Average, Typical","One-of-a-kind, Distinctive, Exclusive, Rare",My house is unique because it has a giant treehouse in the backyard.,1 class
754,Unhappy,Feeling sad or displeased,"Happy, Joyful, Pleased, Content","Sad, Depressed, Miserable, Sorrowful",I am unhappy because my father didn't bought me new toy.,1 class
755,Name,A word or set of words by which a person or thing is known,"Unknown, Anonymous, Unnamed, Nameless","Title, Appellation, Denomination, Moniker",My name is Jack.,1 class
756,Nature,"The physical world, including all living things and natural phenomena","Artificial, Manufactured, Synthetic, Unnatural","Environment, Universe, Creation, Earth",The beauty of nature is breathtaking.,1 class
757,Nurse,"A person trained to care for the sick or infirm, especially in a hospital","Patient, Invalid, Sick, Unhealthy","Attendant, Caregiver, Medic, Practitioner",The nurse checked my temperature.,1 class
758,Nest,A structure or place made or chosen by a bird for laying eggs and sheltering its young,"Unsheltered, Exposed, Unprotected, Vulnerable","Roost, Den, Lair, Refuge",The bird built a nest in the tree.,1 class
759,Net,A meshed fabric or structure used as a barrier to trap or catch things,"Open, Unobstructed, Uncovered, Free","Mesh, Web, Network, Screen",The fish was caught in the net.,1 class
760,Nine,The number equivalent to the product of three and three; one less than ten,"Zero, One, Two, Eight","Niner, Nonagon, Ennead, IX",I have nine fingers on my hands.,1 class
761,Noon,Twelve o'clock in the day; midday,"Midnight, Dusk, Dawn, Nightfall","Midday, Noontime, High Noon, Meridian",Lunch is at noon.,1 class
762,Nose,"The part of the face or head containing the nostrils, used for breathing and smelling","Mouth, Ears, Eyes, Chin","Snout, Proboscis, Sniffer, Schnozzle",I blew my nose.,1 class
763,Note,A brief record of something written down to assist the memory or for future reference,"Forget, Ignore, Neglect, Disregard","Memo, Memorandum, Jotting, Reminder",I took a note during class.,1 class
764,Nut,A fruit consisting of a hard or tough shell around an edible kernel,"Fruit, Vegetable, Meat, Candy","Kernel, Seed, Pit, Stone",I love eating nuts.,1 class
765,Near,At or to a short distance away; not far away,"Distant, Far, Faraway, Remote","Close, Adjacent, Proximate, Nigh",The store is near my house.,1 class
766,Nice,"Pleasant, agreeable, or satisfactory","Unpleasant, Mean, Rude, Harsh","Pleasant, Agreeable, Amiable, Friendly",The weather is nice today.,1 class
767,New,Not existing before; newly made or acquired,"Old, Used, Worn, Ancient","Fresh, Modern, Novel, Recent",I got a new toy.,1 class
768,Noon,Twelve o'clock in the day; midday,"Midnight, Dusk, Dawn, Nightfall","Midday, Noontime, High Noon, Meridian",Lunch is at noon.,1 class
769,Noisy,Making a lot of noise; loud,"Quiet, Hushed, Silent, Calm","Loud, Clamorous, Boisterous, Raucous",The kids were very noisy in class.,1 class
770,Happy,Feeling or expressing joy,"Sad, unhappy, gloomy, miserable","Pleased, delighted, content, cheerful",The kids were very happy to see their grandparents.,1 class
771,Hat,A covering for the head,"Baldness, bareheaded, hairless, uncrowned","Cap, beanie, fedora, beret",He put on his favorite hat before going outside.,1 class
772,House,A building where people live,"Office, factory, store, school","Home, residence, dwelling, abode",The family moved into a new house on the other side of town.,1 class
773,Hand,"The part of the body at the end of the arm, including the fingers and thumb","Foot, arm, leg, head","Palm, fist, fingers, grip",He used his hand to pick up the toy.,1 class
774,Head,"The upper part of the body, which contains the brain and other important organs","Feet, tail, legs, body","Mind, brain, intellect, intelligence",She had a headache after studying for too long.,1 class
775,Help,To assist or give support to someone or something,"Hinder, obstruct, impede, block","Aid, assist, support, lend a hand",Can you help me carry these books to the library?,1 class
776,Hungry,Feeling the need to eat,"Full, satisfied, satiated, content","Starving, famished, ravenous, peckish",He was so hungry that he ate two sandwiches for lunch.,1 class
777,Hello,A greeting or expression of goodwill when meeting someone,"Goodbye, farewell, adieu, so long","Hi, hey, greetings, salutations",She greeted her friend with a friendly hello.,1 class
778,Heart,The organ that pumps blood throughout the body,"Brain, head, intellect, reason","Core, essence, center, soul",He could feel his heart pounding in his chest during the race.,1 class
779,Hide,To conceal or cover something,"Reveal, expose, uncover, display","Conceal, cover, mask, obscure",The cat likes to hide under the bed when it's scared.,1 class
780,Hair,The strands that grow on the head or body,"Baldness, bald, shaven, hairless","Locks, mane, tresses, strands",She brushed her long hair before going to bed.,1 class
781,Hot,Having a high temperature,"Cold, cool, freezing, frigid","Warm, heated, boiling, scorching",The soup was too hot to eat right away.,1 class
782,Houseplant,A plant that is grown indoors,"Outdoor plant, garden plant, wild plant, weed","Indoor plant, potted plant, foliage, greenery",She watered her houseplants every Sunday.,1 class
783,Hurt,To cause physical or emotional pain,"Heal, repair, mend, soothe","Injure, damage, harm, wound",The boy hurt his knee while playing soccer.,1 class
784,Heavy,Weighing a lot or difficult to move,"Light, easy, agile, nimble","Weighty, burdensome, cumbersome, ponderous",The box was too heavy for her to lift by herself.,1 class
785,High,Elevated or at a great distance from the ground,"Low, short, small, squat","Tall, towering, lofty, soaring",The airplane flew high above the clouds.,1 class
786,Housefly,A common fly that is often found indoors,"Butterfly, ladybug, moth, bee","Fly, house bug, insect, pest",The housefly landed on the window sill.,1 class
787,Yellow,A color between green and orange on the spectrum of visible light,"Blue, green, purple, black","Gold, lemon, saffron, amber",The sunflower had bright yellow petals.,1 class
788,Yes,An affirmative response or agreement,"No, never, absolutely not, definitely not","Affirmative, certainly, absolutely, agreed",She said yes when her friend asked to borrow a pencil.,1 class
789,Yo-yo,"A toy consisting of two disks connected by an axle and a string, which is rolled up and down","Book, computer, video game, phone","Toy, plaything, spinner, whirligig",The boy played with his yo-yo during recess.,1 class
790,Yawn,To open one's mouth wide and inhale deeply due to tiredness or boredom,"Cheer, energize, invigorate, stimulate","Stretch, gape, sigh, breathe",The baby yawned before falling asleep.,1 class
791,Year,"A period of 12 months, beginning on January 1st and ending on December 31st","Day, week, hour, minute","Twelve months, annum, cycle, season",She had a great year in first grade.,1 class
792,Yesterday,The day before today,"Today, tomorrow, future, next","Past, former, previous, last",She saw her friend at the park yesterday.,1 class
793,Yogurt,A dairy product made by fermenting milk with bacteria culture,"Bacon, steak, chicken, fish","Curd, cream, sour cream, kefir",She had a cup of yogurt for breakfast.,1 class
794,Yacht,A large sailing vessel used for pleasure or sport,"Car, airplane, train, bus","Boat, ship, cruiser, sailboat",She saw a yacht sailing on the ocean.,1 class
795,Yellow Submarine,A song by the Beatles about a submarine that is yellow in color,"Silence, quiet, noiseless, soundless","Song, music, melody, tune",She listened to Yellow Submarine on the radio.,1 class
796,Yodel,A style of singing characterized by rapid alternation between low and high notes,"Mute, silence, hush, quiet","Sing, chant, vocalize, trill",She learned how to yodel during music class.,1 class
797,Yak,A long-haired bovine animal native to the Himalayas,"Sheep, goat, horse, pig","Bull, ox, buffalo, cow",She saw a yak at the zoo.,1 class
798,Yellow Jacket,A type of wasp with yellow and black stripes,"Butterfly, ladybug, moth, beetle","Wasp, hornet, bee, insect",She was stung by a yellow jacket while playing outside.,1 class
799,Yarn,A type of thread made of fibers used for knitting or weaving,"Fabric, cloth, garment, clothing","Thread, fiber, string, wool",She knitted a scarf using colorful yarn.,1 class
800,Yummy,Delicious or tasty,"Disgusting, unpleasant, unappetizing, inedible","Delicious, delectable, tasty, appetizing",She said the cake was yummy.,1 class
801,Yard,"A unit of measurement equal to three feet, used to measure length","Square, cube, circle, triangle","Feet, meters, inches, centimeters",The fence around the yard was made of wood.,1 class
802,Yellow Belt,A ranking in martial arts below green belt and above white belt,"Unranked, beginner, novice, amateur","Ranking, level, degree, status",He earned his yellow belt in karate.,1 class
803,Cat,A small carnivorous mammal with fur and retractable claws,"Dog, bird, fish, lizard","Feline, kitty, kitten, tomcat",She saw a black cat on the fence.,1 class
804,Cake,"A sweet baked dessert made of flour, sugar, eggs, and butter or oil","Vegetable, meat, fruit, sandwich","Pastry, dessert, confection, treat",She had a slice of chocolate cake for her birthday.,1 class
805,Class,A group of students who are taught together,"Individual, one-on-one, private, personal","Lesson, course, session, seminar",She is in the same class as her best friend.,1 class
806,Computer,"An electronic device used for storing, processing, and retrieving data","Pen, paper, chalkboard, textbook","Laptop, desktop, tablet, smartphone",She used the computer to do her homework.,1 class
807,Car,A four-wheeled motor vehicle used for transportation,"Bike, skateboard, scooter, roller skates","Automobile, vehicle, sedan, coupe",She rode in the car with her family.,1 class
808,Cow,"A large domesticated mammal with hooves and horns, raised for meat, milk, and hides","Cat, dog, bird, fish","Bovine, cattle, heifer, ox",She saw a cow on the farm.,1 class
809,Cookie,"A small baked dessert typically made of flour, sugar, eggs, and butter or oil","Vegetable, meat, fruit, sandwich","Biscuit, cracker, sweet, snack",She had a chocolate chip cookie after dinner.,1 class
810,Crayon,A stick of colored wax used for drawing or coloring,"Eraser, whiteout, highlighter, ruler","Marker, pen, pencil, chalk",She drew a picture with her red crayon.,1 class
811,Chair,A piece of furniture with a seat and backrest for one person to sit on,"Bed, couch, table, desk","Seat, stool, bench, armchair",She sat on the chair at her desk.,1 class
812,Cup,"A small container used for drinking, typically made of glass or ceramic","Bowl, plate, tray, saucer","Mug, glass, tumbler, goblet",She drank juice from a cup.,1 class
813,Cookie Cutter,"A tool used to cut dough into a specific shape, often used for making cookies","Knife, scissors, spoon, fork","Cutter, mold, stencil, form",She used a cookie cutter to make star-shaped cookies.,1 class
814,Coat,"A garment worn on the upper body, typically for warmth or protection from the weather","Shorts, skirt, dress, tank top","Jacket, sweater, parka, blazer",She wore a coat to school on a cold day.,1 class
815,Clock,"A device used for measuring and indicating time, typically with hands or digits on a dial","Calendar, schedule, to-do list, planner","Watch, timer, stopwatch, hourglass",She checked the clock to see how much time was left in class.,1 class
816,Cheese,"A food made from the pressed curds of milk, often used as a topping or ingredient in dishes","Meat, vegetables, fruit, bread","Dairy, cheddar, mozzarella, feta",She had a grilled cheese sandwich for lunch.,1 class
817,Crickets,"An insect with long antennae and large hind legs used for jumping, often known for the chirping sound they make","Bird, dog, cat, fish","Insect, grasshopper, katydid, locust",She heard crickets chirping outside at night.,1 class
818,Lion,"A large carnivorous feline animal with a mane, typically found in Africa","Gazelle, zebra, antelope, wildebeest","Big cat, tiger, leopard, jaguar",She saw a lion at the zoo.,1 class
819,Lunch,A meal eaten in the middle of the day,"Breakfast, dinner, dessert, appetizer","Midday meal, noon meal, brunch, snack",She brought a sandwich for her lunch.,1 class
820,Leaf,"The thin, flat part of a plant that grows from a stem or branch","Stem, root, trunk, branch","Frond, foliage, blade, petal",She picked up a colorful leaf from the ground.,1 class
821,Lemon,"A yellow citrus fruit with acidic juice, often used for flavoring or as a garnish","Sweet, sugary, dessert, candy","Citrus, lime, grapefruit, orange",She squeezed lemon juice onto her fish.,1 class
822,Library,"A place where books, magazines, and other materials are available for borrowing or reading","Park, mall, theater, restaurant","Bookstore, archive, collection, repository",She checked out a book from the library.,1 class
823,Lollipop,"A piece of candy on a stick, often round and flavored","Vegetable, meat, fruit, sandwich","Sucker, candy, sweet, treat",She had a red lollipop after dinner.,1 class
824,Light,"The natural agent that stimulates sight and makes things visible, or an artificial device that produces illumination","Darkness, shadow, shade, obscurity","Sunlight, lamp, bulb, torch",She turned on the light in her room.,1 class
825,Letter,A written or printed message addressed to a person or organization,"Phone call, text message, email, fax","Mail, note, message, card",She wrote a letter to her grandma.,1 class
826,Llama,A domesticated South American mammal with a long neck and woolly fleece,"Lion, tiger, bear, gorilla","Alpaca, camel, guanaco",She saw a llama at the petting zoo.,1 class
827,Line,"A long, narrow mark or band, often used to denote a boundary or division","Circle, oval, curve, twist","Stripe, border, edge, limit",She drew a line on the paper.,1 class
828,Lock,"A device used for securing something, typically with a key or combination","Key, combination, unlock, release","Padlock, bolt, latch, fastener",She locked her bike with a padlock.,1 class
829,Ladybug,"A small, brightly colored beetle with black spots, often considered lucky","Cockroach, ant, mosquito, termite","Ladybird, lady beetle, ladybird beetle, ladybird bug",She saw a ladybug on a leaf.,1 class
830,Leg,Each of the limbs on which a person or animal walks or stands,"Arm, hand, finger, toe","Limb, appendage, extremity, member",She ran with her legs during recess.,1 class
831,Lunchbox,"A container used for carrying food, typically to school or work","Breakfast box, dinner box, snack box, dessert box","Lunch pail, lunch kit, lunch bag, lunch tote",She brought her sandwich in a lunchbox.,1 class
832,Lizard,"A cold-blooded reptile with scaly skin and four legs, often found in warm climates","Bird, mammal, fish, amphibian","Gecko, chameleon, iguana, skink",She saw a lizard on a rock.,1 class
833,Giraffe,A large African mammal with a long neck and spots,"Short, small, stubby, squat","Camelopard, tower, longneck, necker",She saw a giraffe at the zoo.,1 class
834,Grape,"A small, juicy fruit that grows in clusters on a vine","Vegetable, meat, bread, pasta","Berry, fruit, grapevine, raisin",She ate grapes for a snack.,1 class
835,Goose,A waterbird with a long neck and webbed feet,"Fish, reptile, mammal, insect","Gander, bird, waterfowl, swan",She saw a goose at the pond.,1 class
836,Glue,An adhesive substance used for sticking things together,"Solvent, release agent, grease, oil","Adhesive, gum, paste, cement",She used glue to make a collage.,1 class
837,Garden,"A piece of land used for growing flowers, vegetables, or other plants","Building, road, sidewalk, parking lot","Yard, lawn, park, orchard",She planted flowers in the garden.,1 class
838,Grapes,"A bunch or cluster of small, juicy fruit that grow on vines","Vegetable, meat, bread, pasta","Bunch, cluster, vine, fruit",She picked a bunch of grapes from the vine.,1 class
839,Gift,A present or something given willingly,"Takeaway, confiscation, forfeiture, penalty","Present, offering, donation, contribution",She received a gift for her birthday.,1 class
840,Grass,"A green plant with narrow leaves, typically growing on lawns and in fields","Rock, sand, concrete, asphalt","Lawn, turf, meadow, pasture",She lay down on the grass and looked at the clouds.,1 class
841,Guitar,A stringed instrument played by plucking or strumming the strings,"Trumpet, piano, drums, violin","Acoustic guitar, electric guitar, bass guitar, classical guitar",She learned to play the guitar in music class.,1 class
842,Goat,"A mammal with horns and a beard, often kept for its milk or meat","Cow, pig, chicken, sheep","Billy goat, nanny goat, kid, chevon",She saw a goat on the farm.,1 class
843,Glasses,A pair of lenses set in a frame worn to correct or assist vision,"Contact lenses, monocle, blinders, lensless","Eyeglasses, spectacles, shades, bifocals",She wore glasses to see the board in class.,1 class
844,Gold,"A precious metal, often used in jewelry or currency","Copper, iron, silver, bronze","Aurum, bullion, ingot, nugget",She wore a gold necklace to the party.,1 class
845,Game,An activity or sport played for amusement or competition,"Work, chore, duty, obligation","Sport, competition, contest, match",She played a game of tag with her friends.,1 class
