id,word,meaning,relevance
104,Amazement,A feeling of wonder and astonishment,2
105,Fascination,The state of being intensely interested or attracted,3
106,Tranquility,Calmness and peacefulness,1
107,Enchanting,Delightfully charming or captivating,2
108,Enthralling,Captivating and holding the attention,3
109,Lull,To soothe someone to sleep or rest,1
110,Wander,To travel aimlessly or explore without a specific destination,2
111,Glitter,"To shine with small, bright flashes of light",3
112,Radiance,A bright or warm glow,1
113,Jovial,Cheerful and full of good humor,2
114,Mesmerize,To capture someone's attention completely,3
115,Euphoria,A feeling of intense happiness and excitement,1
116,Cheerful,Full of cheer and happiness,2
117,Bubbly,Full of lively or excited activity,3
118,Delightful,Highly pleasing and enjoyable,1
119,Grace,Elegance and beauty in movement or appearance,2
120,Sizzle,To make a hissing sound like that of frying food,3
121,Exhilarating,"Making one feel very happy, animated, or elated",1
122,Radiant,Shining brightly and emitting light,2
123,Wonderland,"A place of fantasy, magic, and fascination",3
124,Inspire,To fill someone with the urge or ability to do or feel something,1
125,Freedom,"The power or right to act, speak, or think as one wants",2
126,Emerge,To come forth or become visible,3
127,Melody,Pleasant sequence of musical notes,1
128,Astonishment,A feeling of great surprise and wonder,2
129,Blissful,Full of joy and happiness,3
130,Glimpse,A quick look or glance,1
131,Illumination,The act of lighting up or brightening with light,2
132,Gaze,To look steadily and intently,3
133,Petrichor,The pleasant smell that follows the first rain after a dry spell,1
134,Curiosity,Eagerness to learn or know more about something,2
135,Ponder,To think about deeply and reflect,3
136,Sunshine,"Bright, direct sunlight",1
137,Friendship,Close relationship between friends,2
138,Fascinate,To attract and hold the interest of someone,3
139,Spectacular,Remarkable and impressive in a dramatic or eye-catching way,1
140,Mesmerizing,Holding the attention and interest of someone in a captivating way,2
141,Serene,"Calm, peaceful, and untroubled",3
142,Playful,Full of fun and cheerful activity,1
143,Wonder,A feeling of surprise and admiration,2
144,Zestful,Full of energy and enthusiasm,3
145,Harmony,The combination of different elements into a pleasing whole,1
146,Marvel,Something that causes wonder or astonishment,2
147,Flicker,"To burn or shine with an unsteady, wavering light",3
148,Palimpsest,A manuscript with layers of writing and erasure,1
149,Bucolic,Relating to the pleasant aspects of the countryside,2
150,Elixir,A magical or medicinal potion,3
151,Nebula,A cloud of gas and dust in space,1
152,Diaphanous,"Delicate, translucent, and light",2
153,Zephyr,"A gentle, mild breeze",3
154,Aplomb,Self-confidence and poise,1
155,Dulcet,Sweet and soothing,2
156,Supine,Lying face up or inactive,3
157,Effervescent,Bubbling or giving off small bubbles of gas,1
158,Luminous,Emitting light or full of light,2
159,Quiescent,"Quiet, still, or inactive",3
160,Serendipity,Finding something valuable by chance,1
161,Mellifluous,Pleasantly smooth and musical,2
162,Labyrinthine,Intricate and confusing like a labyrinth,3
163,Incandescent,Emitting light due to high temperature,1
164,Ephemeral,Lasting for a very short time,2
165,Evanescent,Vanishing or fading away like vapor,3
166,Susurrus,"A soft, murmuring or rustling sound",1
167,Euphonious,"Pleasing to the ear, melodious",2
168,Scintillating,Sparkling and brilliant,3
169,Penumbra,A partially shaded area around the edges of a shadow,1
170,Halcyon,"Calm, peaceful, and carefree",2
171,Cacophony,"A harsh, discordant mixture of sounds",3
172,Resplendent,Shining brightly and impressively,1
173,Petrichor,The pleasant smell that follows the first rain after a dry spell,2
174,Ineffable,Too great or extreme to be expressed in words,3
175,Sonorous,"Producing a rich, full, and impressive sound",1
176,Nebulous,"Unclear, vague, or hazy",2
177,Ethereal,Delicate and otherworldly,3
178,Quixotic,"Extremely idealistic, unrealistic, or impractical",1
179,Elixir,A magical or medicinal potion,2
180,Aplomb,Self-confidence and poise,3
181,Bucolic,Relating to the pleasant aspects of the countryside,1
182,Dulcet,Sweet and soothing,2
183,Zephyr,"A gentle, mild breeze",3
184,Supine,Lying face up or inactive,1
185,Diaphanous,"Delicate, translucent, and light",2
186,Effervescent,Bubbling or giving off small bubbles of gas,3
187,Luminous,Emitting light or full of light,1
188,Quiescent,"Quiet, still, or inactive",2
189,Mellifluous,Pleasantly smooth and musical,3
190,Serendipity,Finding something valuable by chance,1
191,Labyrinthine,Intricate and confusing like a labyrinth,2
192,Incandescent,Emitting light due to high temperature,3
193,Ephemeral,Lasting for a very short time,1
194,Evanescent,Vanishing or fading away like vapor,2
195,Susurrus,"A soft, murmuring or rustling sound",3
196,Euphonious,"Pleasing to the ear, melodious",1
197,Scintillating,Sparkling and brilliant,2
198,Penumbra,A partially shaded area around the edges of a shadow,3
199,Halcyon,"Calm, peaceful, and carefree",1
200,Cacophony,"A harsh, discordant mixture of sounds",2
201,Resplendent,Shining brightly and impressively,3
202,Petrichor,The pleasant smell that follows the first rain after a dry spell,1
203,Ineffable,Too great or extreme to be expressed in words,2
204,Sonorous,"Producing a rich, full, and impressive sound",3
205,Nebulous,"Unclear, vague, or hazy",1
206,Ethereal,Delicate and otherworldly,2
207,Quixotic,"Extremely idealistic, unrealistic, or impractical",3
208,Mellifluous,Pleasantly smooth and musical,1
209,Nebula,A cloud of gas and dust in space,2
210,Diaphanous,"Delicate, translucent, and light",3
211,Zephyr,"A gentle, mild breeze",1
212,Aplomb,Self-confidence and poise,2
213,Dulcet,Sweet and soothing,3
214,Supine,Lying face up or inactive,1
215,Effervescent,Bubbling or giving off small bubbles of gas,2
216,Luminous,Emitting light or full of light,3
217,Quiescent,"Quiet, still, or inactive",1
218,Serendipity,Finding something valuable by chance,2
219,Mesmerizing,Holding the attention and interest of someone in a captivating way,3
