Category,One Word Substitution,Generic terms,Relevance
Person or people,A leader who sways his followers by his oratory,Demagogue,3
Person or people,"A dabbler (not serious) in art, science and literature",Dilettante,3
Person or people,One who is for pleasure of eating and drinking,Epicure,3
Person or people,One who often talks of his achievements,Egotist,3
Person or people,Someone who leaves one country to settle in another,Emigrant,3
Person or people,A man who is womanish in his habits,Effeminate,3
Person or people,One who is hard to please (very selective in his habits),Fastidious,3
Person or people,One who runs away from justice,Fugitive,3
Person or people,One who is filled with excessive enthusiasm in religious matters,Fanatic,3
Person or people,One who believes in fate,Fatalist,3
Person or people,A lover of good food,Gourmand,3
Person or people,Conferred as an honour,Honorary,3
Person or people,A person who acts against religion,Heretic,3
Person or people,A person of intellectual or erudite tastes,Highbrow,3
Person or people,A patient with imaginary symptoms and ailments,Hypochondriac,3
Person or people,A person who is controlled by wife,Henpeck,3
Person or people,One who shows sustained enthusiastic action with unflagging vitality,Indefatigable,3
Person or people,Someone who attacks cherished ideas or traditional institutions,Iconoclast,3
Person or people,One who does not express himself freely,Introvert,3
Person or people,Who behaves without moral principles,Immoral,3
Person or people,A person who is incapable of being tampered with,Impregnable,3
Person or people,One who is unable to pay his debts,Insolvent,3
Person or people,A person who is mentally ill,Lunatic,3
Person or people,A person who dislikes humankind and avoids human society,Misanthrope,3
Person or people,A person who is primarily concerned with making money at the expense of ethics,Mercenary,3
Person or people,Someone in love with himself,Narcissist,3
Person or people,One who collect coins as hobby,Numismatist,3
Person or people,A person who likes or admires women,Philogynist,3
Person or people,A lover of mankind,Philanthropist,3
Person or people,A person who speaks more than one language,Polyglot,3
Person or people,One who lives in solitude,Recluse,3
Person or people,Someone who walks in sleep,Somnambulist,3
Person or people,A person who is indifferent to the pains and pleasures of life,Stoic,3
Person or people,A scolding nagging bad-tempered woman,Termagant,3
Person or people,A person who shows a great or excessive fondness for one’s wife,Uxorious,3
Person or people,One who possesses outstanding technical ability in a particular art or field,Virtuoso,3
Profession or Research,The medieval forerunner of chemistry,Alchemy,3
Profession or Research,A person who presents a radio/television programme,Anchor,3
Profession or Research,One who studies the evolution of mankind,Anthropologist,3
Profession or Research,A person who is trained to travel in a spacecraft,Astronaut,3
Profession or Research,"The scientific study of the physiology, structure, genetics, ecology, distribution, classification and economic importance of plants",Botany,3
Profession or Research,A person who draws or produces maps,Cartographer,3
Profession or Research,A person who writes beautiful writing,Calligrapher,3
Profession or Research,A person who composes the sequence of steps and moves for a performance of dance,Choreographer,3
Profession or Research,A person employed to drive a private or hired car,Chauffeur,3
Profession or Research,A person who introduces the performers or contestants in a variety show,Compere,3
Profession or Research,A keeper or custodian of a museum or other collection,Curator,3
Profession or Research,The branch of biology concerned with cyclical physiological phenomena,Chronobiology,3
Profession or Research,A secret or disguised way of writing,Cypher,3
Profession or Research,The study of statistics,Demography,3
Profession or Research,The use of the fingers and hands to communicate and convey ideas,Dactylology,3
Profession or Research,A person who sells and arranges cut flowers,Florist,3
Profession or Research,A line of descent traced continuously from an ancestor,Genealogy,3
Profession or Research,The therapeutic use of sunlight,Heliotherapy,3
Profession or Research,The art or practise of garden cultivation and management,Horticulture,3
Profession or Research,One who supervises in the examination hall,Invigilator,3
Profession or Research,The theory or philosophy of law,Jurisprudence,3
Profession or Research,A person who compiles dictionaries,Lexicographer,3
Profession or Research,The scientific study of the structure and diseases of teeth,Odontology,3
Profession or Research,One who presents a radio programme,Radio Jockey,3
Profession or Research,The art of effective or persuasive speaking or writing,Rhetoric,3
Profession or Research,"The branch of science concerned with the origin, structure and composition of rocks",Petrology,3
Profession or Research,One who studies the elections and trends in voting,Psephologist,3
Profession or Research,An artist who makes sculptures.,Sculptor,3
Profession or Research,"The scientific study of the behaviour, structure, physiology, classification and distribution of animals",Zoology,3
